num_acc;catv;obs;obsm;choc;manv;num_veh
2010000001;30;1;0;1;1;A01
2010000002;7;0;1;1;1;A01
2010000003;33;0;2;1;17;A01
2010000003;7;0;9;3;23;C03
2010000003;7;0;9;6;1;B02
2010000004;1;0;0;0;0;A01
2010000004;10;0;2;2;1;B02
2010000005;2;0;2;1;2;A01
2010000005;10;0;2;4;2;B02
2010000006;7;0;0;4;1;B02
2010000006;17;0;2;2;2;A01
2010000006;7;0;2;8;2;E05
2010000006;7;0;0;5;2;D04
2010000006;7;0;0;4;1;C03
2010000007;7;0;2;0;22;A01
2010000007;14;0;1;7;1;B02
2010000008;10;4;2;1;1;A01
2010000008;10;0;0;4;1;B02
2010000008;10;12;0;8;1;C03
2010000009;30;1;0;1;1;A01
2010000010;14;0;2;2;1;A01
2010000010;7;0;2;3;15;B02
2010000010;7;0;2;2;23;C03
2010000011;7;0;2;7;11;A01
2010000011;30;0;2;1;1;B02
2010000012;2;0;2;1;1;B02
2010000012;7;0;2;7;15;A01
2010000013;33;0;0;0;1;A01
2010000014;7;0;2;7;13;A01
2010000014;7;0;2;2;1;B02
2010000015;33;6;0;1;1;A01
2010000016;7;0;0;8;15;A01
2010000016;7;0;2;1;1;B02
2010000017;7;0;0;0;22;A01
2010000017;1;0;0;0;1;B02
2010000018;7;0;2;3;1;B02
2010000018;16;0;2;2;1;A01
2010000019;10;0;9;8;10;A01
2010000020;33;0;2;1;17;B02
2010000020;7;0;0;8;10;A01
2010000021;7;2;0;1;14;A01
2010000022;7;0;2;8;1;A01
2010000022;7;0;2;1;1;B02
2010000022;7;0;2;3;19;C03
2010000023;7;0;0;0;1;A01
2010000023;14;0;2;1;15;B02
2010000024;32;8;0;1;0;A01
2010000025;1;0;0;4;2;B02
2010000025;7;0;2;2;2;A01
2010000026;7;0;2;2;19;A01
2010000026;7;0;2;3;1;B02
2010000027;10;0;2;3;1;B02
2010000027;2;0;2;7;1;A01
2010000028;33;0;2;3;13;A01
2010000028;7;0;2;8;1;B02
2010000029;7;0;2;1;17;A01
2010000029;10;0;2;1;1;B02
2010000029;7;0;2;6;9;C03
2010000030;7;0;2;6;2;C03
2010000030;7;0;2;3;5;B02
2010000030;7;0;0;8;1;A01
2010000031;7;13;0;2;1;A01
2010000032;30;0;0;9;0;A01
2010000033;38;1;2;3;1;B02
2010000033;33;0;2;1;5;A01
2010000034;7;0;0;1;0;A01
2010000035;14;0;2;1;1;B02
2010000035;7;0;2;7;0;A01
2010000036;7;0;1;1;16;A01
2010000037;7;0;2;3;17;A01
2010000037;7;0;2;3;1;B02
2010000037;20;0;2;1;1;C03
2010000038;7;13;0;1;0;A01
2010000039;7;2;0;1;13;A01
2010000040;31;0;2;1;13;A01
2010000040;7;0;2;3;1;B02
2010000041;33;0;2;1;2;A01
2010000041;10;0;2;6;2;B02
2010000042;31;0;2;1;17;A01
2010000042;16;0;2;3;15;B02
2010000043;7;8;0;1;1;A01
2010000044;7;2;0;7;1;A01
2010000045;30;0;2;1;13;A01
2010000045;7;0;2;1;1;B02
2010000046;7;6;0;1;1;A01
2010000047;33;0;2;1;1;B02
2010000047;7;0;2;2;1;A01
2010000048;7;0;2;1;13;A01
2010000048;7;0;2;1;1;B02
2010000049;7;0;0;7;15;A01
2010000049;7;0;2;2;1;B02
2010000050;17;0;2;3;2;A01
2010000050;7;0;2;4;1;C03
2010000050;7;0;2;1;1;B02
2010000051;14;0;0;8;19;B02
2010000051;7;0;2;1;1;A01
2010000052;33;0;2;2;1;B02
2010000052;1;0;2;3;16;A01
2010000053;10;0;2;2;17;A01
2010000053;7;0;2;3;1;B02
2010000054;7;15;0;1;1;A01
2010000055;7;2;0;1;1;A01
2010000056;7;0;2;3;1;C03
2010000056;7;0;2;6;2;B02
2010000056;33;0;2;3;13;A01
2010000057;7;0;2;3;1;B02
2010000057;7;0;2;3;13;A01
2010000058;7;0;2;2;0;B02
2010000059;7;0;2;6;15;A01
2010000059;33;0;2;1;1;B02
2010000060;7;0;2;1;0;B02
2010000060;7;0;2;1;13;A01
2010000061;7;2;0;1;0;A01
2010000062;7;6;0;1;2;A01
2010000063;10;0;2;7;15;A01
2010000063;33;0;2;1;1;B02
2010000064;39;0;2;1;1;B02
2010000064;2;0;4;7;11;A01
2010000065;7;0;2;8;10;A01
2010000065;7;0;2;1;1;B02
2010000066;7;0;2;7;19;B02
2010000066;33;0;2;1;1;A01
2010000067;30;0;2;1;1;B02
2010000067;7;0;2;5;1;A01
2010000068;30;0;2;1;1;A01
2010000068;21;0;2;4;15;B02
2010000069;33;0;2;1;1;B02
2010000069;7;0;2;1;15;A01
2010000070;7;0;2;1;17;A01
2010000070;1;0;2;8;15;B02
2010000071;7;0;1;3;1;A01
2010000072;7;0;0;9;1;A01
2010000073;7;0;2;1;15;A01
2010000073;33;0;2;1;1;B02
2010000074;33;0;2;1;1;A01
2010000074;7;0;2;8;15;B02
2010000075;7;0;2;1;1;B02
2010000075;10;0;2;2;5;A01
2010000076;7;0;2;1;1;C03
2010000076;7;0;2;3;17;A01
2010000076;7;0;2;1;1;B02
2010000077;15;0;1;2;1;A01
2010000078;7;0;2;7;1;A01
2010000078;7;0;2;1;1;B02
2010000079;7;8;0;1;1;A01
2010000080;1;0;2;1;1;B02
2010000080;7;0;9;5;11;A01
2010000081;7;0;1;1;1;A01
2010000082;30;12;0;1;2;A01
2010000083;7;0;2;3;13;A01
2010000083;3;0;2;3;1;B02
2010000084;10;0;1;3;1;A01
2010000085;2;0;0;1;1;A01
2010000085;7;0;0;1;1;B02
2010000086;7;6;0;2;1;A01
2010000087;7;2;0;3;1;A01
2010000088;7;0;2;1;1;A01
2010000088;14;0;2;3;1;B02
