num_acc;catv;obs;obsm;choc;manv;num_veh
2012000001;7;0;1;7;16;A01
2012000002;7;0;2;3;16;A01
2012000002;33;0;2;8;1;B02
2012000003;7;0;2;1;1;C03
2012000003;7;0;2;8;1;B02
2012000003;33;0;2;3;13;A01
2012000004;7;0;2;2;15;A01
2012000004;30;0;2;1;1;B02
2012000005;7;0;2;1;17;A01
2012000005;38;0;2;3;1;B02
2012000006;7;0;1;2;1;A01
2012000007;7;0;1;2;1;A01
2012000008;7;0;1;2;1;A01
2012000009;7;0;2;5;2;B02
2012000009;33;0;2;1;2;A01
2012000010;7;6;0;1;14;A01
2012000011;33;0;2;7;17;A01
2012000011;7;0;2;8;17;B02
2012000012;30;0;2;1;1;B02
2012000012;7;0;2;2;16;A01
2012000013;7;0;1;3;1;A01
2012000014;21;0;2;1;1;B02
2012000014;7;0;2;1;13;A01
2012000015;33;3;0;1;1;A01
2012000016;33;0;2;1;17;B02
2012000016;7;0;0;8;10;A01
2012000017;31;0;2;1;1;A01
2012000017;7;0;0;3;1;B02
2012000018;33;6;0;1;1;A01
2012000019;17;0;2;3;15;B02
2012000019;3;0;2;7;17;A01
2012000020;14;6;0;1;1;A01
2012000021;33;0;2;7;1;A01
2012000022;7;2;0;2;1;A01
2012000023;7;0;2;1;1;A01
2012000023;14;0;2;8;0;B02
2012000024;3;0;2;3;1;B02
2012000024;7;0;2;3;1;A01
2012000025;33;13;0;1;1;A01
2012000025;7;0;0;0;15;B02
2012000026;7;0;2;5;15;A01
2012000026;33;0;2;1;1;B02
2012000027;7;0;2;7;15;A01
2012000028;7;0;2;3;15;B02
2012000028;2;0;2;8;17;A01
2012000029;7;0;2;7;17;A01
2012000029;1;0;2;8;15;B02
2012000030;1;1;0;1;1;A01
2012000031;7;6;0;8;1;A01
2012000032;7;0;0;3;15;A01
2012000032;2;0;2;1;1;B02
2012000033;7;0;2;3;10;A01
2012000033;7;0;2;2;21;B02
2012000034;7;8;0;1;0;A01
2012000035;7;13;0;1;1;A01
2012000036;1;0;2;8;1;B02
2012000036;21;0;2;5;1;A01
2012000037;7;0;0;0;1;A01
2012000038;7;8;0;2;1;A01
2012000039;31;0;2;1;1;A01
2012000039;7;0;2;2;1;B02
2012000040;33;3;2;3;2;A01
2012000040;10;0;2;5;2;B02
2012000041;2;0;2;1;18;A01
2012000041;10;0;9;2;16;B02
2012000042;7;0;1;3;1;A01
2012000043;7;13;0;1;1;A01
2012000044;7;0;1;0;1;A01
2012000045;7;0;1;2;1;A01
2012000046;7;0;2;3;1;A01
2012000046;1;0;2;1;15;B02
2012000047;7;0;2;2;15;A01
2012000047;7;0;2;1;1;B02
2012000048;7;0;2;2;13;A01
2012000048;7;0;2;2;13;B02
2012000049;2;14;0;1;1;A01
2012000050;10;13;0;1;1;A01
2012000051;10;0;2;2;1;B02
2012000051;7;0;2;1;13;A01
2012000052;33;0;2;8;1;A01
2012000053;33;0;2;1;17;A01
2012000053;7;0;2;3;15;B02
2012000054;7;0;0;5;16;A01
2012000054;2;0;2;1;1;B02
2012000055;7;0;2;4;1;A01
2012000055;7;0;2;1;1;B02
2012000056;7;13;2;5;1;B02
2012000056;10;0;2;1;9;A01
2012000057;7;0;1;2;17;A01
2012000058;7;2;0;2;13;A01
2012000059;7;10;0;2;14;A01
2012000060;7;0;2;8;15;B02
2012000060;33;0;2;1;17;A01
2012000061;7;0;2;1;13;A01
2012000061;1;0;2;4;1;B02
2012000062;10;0;2;8;1;B02
2012000062;10;0;2;3;13;A01
2012000063;33;0;0;0;1;A01
2012000064;7;2;0;1;1;A01
2012000065;33;0;2;3;13;A01
2012000065;10;0;2;3;1;B02
2012000066;7;0;1;2;1;A01
2012000067;7;6;0;1;1;A01
2012000068;7;2;0;3;17;A01
2012000069;33;0;0;0;1;A01
2012000070;7;0;0;6;1;B02
2012000070;7;0;2;1;17;A01
2012000071;2;0;2;1;1;B02
2012000071;10;0;0;5;15;A01
2012000072;10;0;2;2;15;A01
2012000072;13;0;2;1;1;B02
2012000073;7;0;1;7;1;A01
2012000074;7;0;1;1;1;A01
2012000075;33;8;0;1;1;A01
2012000076;7;0;2;3;1;A01
2012000076;7;0;2;3;1;B02
2012000077;1;0;2;4;2;C03
2012000077;1;0;2;4;2;B02
2012000078;33;6;0;1;1;A01
2012000079;7;0;2;2;1;B02
2012000079;30;0;2;8;10;A01
2012000080;3;0;0;8;10;A01
2012000081;7;9;1;1;20;A01
2012000082;7;0;2;1;15;A01
2012000082;7;0;2;1;1;B02
2012000083;10;0;0;4;1;B02
2012000083;7;0;2;1;1;A01
2012000084;2;0;0;2;12;A01
2012000085;7;0;0;7;1;A01
2012000085;7;0;2;1;1;B02
2012000086;14;0;2;5;1;B02
2012000086;1;0;2;3;1;A01
2012000087;7;6;0;1;14;A01
2012000088;7;0;2;1;1;B02
2012000088;10;0;0;1;1;A01
2012000089;7;0;2;1;1;A01
2012000089;30;0;2;1;5;B02
2012000090;31;0;2;1;1;B02
2012000090;7;0;2;8;9;A01
2012000091;7;0;1;3;1;A01
2012000092;7;0;2;1;13;A01
2012000092;10;0;2;1;1;B02
2012000093;7;1;0;3;13;A01
2012000094;21;0;2;3;1;B02
2012000094;7;0;2;2;1;C03
2012000094;7;0;2;3;13;A01
2012000095;7;0;2;1;2;A01
2012000095;7;0;2;4;1;B02
2012000096;33;0;2;8;1;B02
2012000096;7;0;0;2;15;A01
2012000096;7;0;0;6;1;C03
2012000097;7;0;1;1;1;A01
2012000098;33;0;2;1;13;B02
2012000098;10;0;0;4;13;A01
2012000099;1;0;0;0;1;A01
2012000099;1;0;2;1;1;C03
2012000099;1;0;2;1;1;B02
2012000100;7;0;1;1;1;A01
2012000101;7;0;2;2;1;A01
2012000101;7;0;2;2;1;B02
2012000102;7;0;2;2;1;A01
2012000102;7;0;2;3;1;B02
2012000103;7;0;2;1;1;A01
2012000103;7;0;0;4;1;B02
2012000104;1;0;2;1;15;B02
2012000104;33;0;2;1;1;A01
2012000105;7;0;1;1;1;A01
2012000106;7;2;0;9;1;A01
2012000107;7;0;1;3;1;A01
2012000108;7;0;2;3;17;A01
2012000109;31;0;2;2;15;A01
2012000109;7;0;0;6;15;B02
2012000110;21;0;2;8;1;B02
2012000110;15;0;2;3;11;A01
2012000111;7;13;0;9;0;A01
2012000112;7;0;2;3;1;A01
2012000112;7;0;2;3;1;B02
2012000113;7;0;1;1;0;A01
2012000114;7;0;2;3;15;A01
2012000114;33;0;2;3;1;B02
2012000115;7;0;1;8;1;A01
2012000116;33;0;5;0;21;A01
2012000117;30;0;2;1;1;B02
2012000117;7;0;2;1;15;A01
2012000118;17;0;2;1;1;B02
2012000118;7;0;2;1;15;A01
2012000119;7;0;0;9;1;A01
2012000120;32;0;0;7;1;A01
2012000121;33;0;2;1;1;B02
2012000121;7;0;2;6;19;A01
2012000122;1;0;0;1;0;A01
2012000122;7;0;2;7;1;B02
2012000123;7;0;2;1;20;B02
2012000123;1;0;2;4;1;A01
2012000124;7;0;2;3;13;A01
2012000124;7;0;2;3;1;B02
2012000125;30;0;2;1;1;B02
2012000125;10;0;0;6;4;A01
2012000126;7;6;0;1;1;A01
2012000127;7;16;0;2;0;A01
2012000128;33;0;0;9;1;A01
2012000129;7;1;0;1;1;A01
2012000130;7;13;0;1;14;A01
2012000131;7;0;1;2;1;A01
2012000132;10;0;1;3;0;A01
2012000133;7;0;2;3;1;B02
2012000133;7;0;2;3;1;A01
2012000134;7;0;1;2;1;A01
2012000135;31;0;2;1;1;B02
2012000135;7;0;2;3;15;A01
2012000136;7;0;1;3;1;A01
2012000137;7;0;2;3;13;A01
2012000137;7;0;2;3;1;B02
2012000138;2;0;0;1;15;B02
2012000138;7;0;0;8;1;A01
2012000139;1;0;2;5;19;B02
2012000139;7;0;9;2;1;A01
2012000140;7;0;0;6;15;A01
2012000140;33;1;2;1;1;B02
2012000141;31;0;0;0;1;B02
2012000141;37;0;0;2;15;A01
2012000142;7;0;0;2;0;A01
2012000143;7;0;1;3;1;A01
2012000144;7;2;0;8;14;A01
2012000145;7;0;0;1;20;A01
2012000146;30;2;0;1;1;A01
2012000147;2;0;0;8;0;B02
2012000147;7;0;0;8;0;A01
2012000148;7;16;0;9;1;A01
2012000149;30;0;2;1;1;A01
2012000149;7;0;2;3;15;B02
2012000150;7;2;0;1;1;A01
2012000151;7;0;2;2;1;B02
2012000151;1;0;2;1;1;A01
2012000152;10;0;0;5;23;C03
2012000152;7;0;2;6;23;B02
2012000152;10;0;2;1;1;D04
2012000152;15;0;2;1;1;A01
2012000153;7;0;1;7;17;A01
2012000154;7;0;2;3;13;A01
2012000154;7;0;2;3;1;B02
2012000155;7;6;0;2;1;A01
2012000156;7;0;0;1;1;A01
2012000157;3;15;0;1;1;A01
2012000158;20;0;2;1;18;B02
2012000158;32;0;2;2;1;A01
2012000159;7;13;0;1;1;A01
2012000160;10;0;2;2;1;A01
2012000160;1;0;0;4;1;B02
2012000161;7;13;0;9;1;A01
2012000162;7;0;2;1;1;B02
2012000162;7;0;0;8;11;A01
2012000163;31;0;2;1;2;A01
2012000164;7;0;2;1;13;A01
2012000164;10;0;2;3;1;B02
2012000165;7;0;2;4;2;A01
2012000165;7;0;2;1;2;B02
2012000166;14;0;0;6;15;B02
2012000166;33;0;2;1;21;A01
2012000167;7;1;1;1;2;A01
2012000167;7;0;2;4;24;B02
2012000167;7;0;0;7;24;C03
2012000167;7;0;0;4;24;D04
2012000167;7;0;0;4;24;E05
2012000168;33;0;2;1;2;A01
2012000168;7;0;2;5;9;B02
2012000169;33;0;1;1;1;A01
2012000170;7;0;0;1;0;A01
2012000171;31;0;0;1;1;A01
2012000172;7;0;2;3;2;C03
2012000172;10;0;2;1;5;A01
2012000172;7;0;2;1;1;B02
2012000173;7;0;1;2;21;A01
2012000174;7;0;1;3;1;A01
2012000175;7;13;0;2;14;A01
2012000176;7;0;2;6;1;C03
2012000176;1;0;0;0;23;B02
2012000176;7;0;2;1;1;A01
2012000177;3;0;0;2;15;A01
2012000177;30;0;0;1;1;B02
2012000178;7;0;0;9;1;A01
2012000179;7;0;2;3;1;B02
2012000179;7;0;2;3;1;A01
2012000180;33;0;2;1;2;A01
2012000180;33;0;0;4;0;B02
2012000181;7;13;0;2;1;A01
2012000182;33;0;0;0;1;A01
2012000183;7;6;0;1;1;A01
2012000184;7;0;2;7;1;B02
2012000184;33;0;2;8;13;A01
2012000185;7;4;0;3;17;A01
2012000186;7;13;0;1;1;A01
2012000187;7;13;0;1;1;A01
2012000188;7;13;0;9;21;A01
2012000189;7;0;2;7;13;A01
2012000189;14;0;2;1;1;B02
2012000190;17;0;2;2;1;A01
2012000190;7;0;2;8;15;B02
2012000191;7;0;2;3;13;A01
2012000191;7;0;2;3;1;B02
2012000192;7;0;0;1;0;A01
2012000193;7;2;0;1;1;A01
2012000194;7;0;2;3;5;A01
2012000194;14;0;2;3;1;B02
2012000195;10;0;2;3;13;A01
2012000195;7;0;2;2;13;B02
2012000196;7;0;2;1;1;B02
2012000196;7;0;2;8;13;A01
2012000197;7;0;1;2;1;A01
2012000198;3;6;0;1;1;A01
2012000199;7;13;0;3;1;A01
2012000200;33;0;2;1;13;B02
2012000200;7;0;2;3;1;A01
2012000201;7;2;0;1;13;A01
2012000202;33;0;0;0;15;A01
2012000203;7;1;2;2;15;A01
2012000203;7;0;2;1;1;B02
2012000203;7;0;2;1;23;C03
2012000204;10;0;2;6;19;B02
2012000204;7;0;2;2;1;A01
2012000205;7;0;2;1;15;A01
2012000205;7;0;2;1;1;B02
2012000206;7;2;0;8;13;A01
2012000207;7;0;1;2;1;A01
2012000208;7;2;0;8;1;A01
2012000209;7;13;0;3;1;A01
2012000210;7;8;0;3;16;B02
2012000210;7;12;0;1;1;A01
2012000211;7;13;0;3;13;A01
2012000212;7;0;2;2;19;A01
2012000212;17;0;2;3;1;B02
2012000213;7;2;0;1;19;A01
2012000214;7;0;0;3;19;B02
2012000214;7;0;0;1;1;A01
2012000215;7;8;0;1;14;A01
2012000216;7;1;1;1;2;B02
2012000217;7;0;2;3;1;B02
2012000217;33;0;2;1;17;A01
2012000218;1;0;2;1;19;B02
