num_acc;catv;obs;obsm;choc;manv;num_veh
2013000001;7;0;0;6;10;A01
2013000001;31;0;2;1;1;B02
2013000002;33;0;0;8;11;A01
2013000003;7;0;0;0;17;A01
2013000003;33;0;2;9;17;B02
2013000004;7;0;0;1;1;A01
2013000005;7;0;1;7;19;A01
2013000006;7;0;2;8;13;B02
2013000006;33;0;2;7;17;A01
2013000007;15;0;0;0;9;A01
2013000008;30;8;0;0;14;A01
2013000009;33;0;2;2;1;A01
2013000009;7;0;2;6;17;B02
2013000010;33;12;0;3;1;A01
2013000011;7;0;1;1;1;A01
2013000012;7;13;0;2;1;A01
2013000013;33;0;2;1;17;B02
2013000013;7;0;2;6;13;A01
2013000014;33;0;2;1;17;B02
2013000014;10;0;2;3;13;A01
2013000015;2;0;0;0;1;A01
2013000016;7;0;2;3;10;A01
2013000016;30;0;2;2;17;B02
2013000017;31;0;0;1;17;A01
2013000017;7;0;0;1;15;B02
2013000018;7;13;0;3;17;A01
2013000019;7;6;0;1;1;A01
2013000020;30;0;2;1;1;B02
2013000020;7;0;2;2;15;A01
2013000020;7;0;2;8;24;C03
2013000021;30;8;0;1;1;A01
2013000022;30;12;0;1;1;A01
2013000023;7;13;0;1;2;A01
2013000024;7;0;2;3;19;B02
2013000024;7;0;2;2;1;A01
2013000025;33;13;0;0;0;A01
2013000026;1;12;0;1;0;A01
2013000027;33;0;2;1;1;B02
2013000027;10;0;2;3;15;A01
2013000028;7;0;2;1;2;A01
2013000028;7;0;2;4;23;B02
2013000028;7;0;2;4;23;C03
2013000029;7;0;1;3;1;A01
2013000030;7;2;0;3;19;A01
2013000031;7;0;2;6;2;B02
2013000031;7;0;2;2;17;A01
2013000032;7;13;0;3;13;A01
2013000033;16;0;2;3;13;A01
2013000033;7;0;2;1;1;B02
2013000034;7;0;0;1;1;A01
2013000035;13;13;0;3;13;A01
2013000036;7;0;0;0;1;A01
2013000037;10;0;2;3;13;A01
2013000037;33;0;2;1;1;B02
2013000037;7;0;2;6;1;C03
2013000038;7;0;2;3;1;A01
2013000038;7;0;2;3;1;B02
2013000039;30;0;2;6;2;A01
2013000039;7;0;2;2;2;B02
2013000040;7;0;2;1;1;B02
2013000040;7;0;2;8;15;A01
2013000041;30;0;2;8;1;B02
2013000041;14;0;2;3;15;A01
2013000042;2;0;2;2;17;A01
2013000042;7;0;2;3;15;B02
2013000043;7;0;0;1;1;A01
2013000044;10;0;2;9;1;B02
2013000044;10;0;2;1;1;C03
2013000044;10;0;2;1;1;D04
2013000044;10;0;0;4;16;A01
2013000045;10;0;2;1;15;B02
2013000045;7;0;2;2;1;A01
2013000046;7;0;2;3;19;B02
2013000046;31;0;2;1;1;A01
2013000047;2;0;2;1;1;B02
2013000047;7;0;2;1;13;A01
2013000048;33;2;0;0;17;A01
2013000049;7;0;2;1;1;B02
2013000049;7;0;2;7;1;A01
2013000050;1;0;2;1;21;B02
2013000050;30;12;2;1;14;A01
2013000051;7;0;1;2;1;A01
2013000052;7;6;0;4;1;A01
2013000053;7;2;0;7;14;A01
2013000054;7;13;0;1;1;A01
2013000055;7;0;1;1;21;A01
2013000056;1;0;0;1;1;A01
2013000057;32;0;0;1;1;A01
2013000058;7;1;0;1;1;A01
2013000059;33;0;0;0;1;A01
2013000060;33;0;2;1;1;B02
2013000060;7;0;2;8;15;A01
2013000061;7;16;0;1;1;A01
2013000062;7;0;2;3;15;B02
2013000062;33;0;2;1;17;A01
2013000063;7;6;0;1;1;A01
2013000064;33;1;0;1;1;A01
2013000064;7;0;9;1;1;B02
2013000065;30;1;0;1;2;A01
2013000066;7;0;2;3;17;B02
2013000066;7;0;2;3;1;A01
2013000067;2;0;2;1;1;B02
2013000067;7;0;2;3;15;A01
2013000068;1;0;2;8;0;B02
2013000068;7;0;2;1;1;A01
2013000069;33;0;0;0;1;A01
2013000070;33;13;0;1;16;A01
2013000071;33;0;2;1;1;A01
2013000071;10;0;2;3;11;B02
2013000072;33;13;0;1;1;A01
2013000073;33;0;2;1;13;A01
2013000073;7;0;2;1;1;B02
2013000074;2;0;2;1;1;B02
2013000074;7;0;2;3;15;A01
2013000075;7;0;2;3;9;A01
2013000075;32;0;2;1;3;B02
2013000076;10;13;0;1;13;A01
2013000077;7;0;2;1;1;B02
2013000077;30;0;2;1;13;A01
2013000078;7;0;2;7;1;A01
2013000078;7;0;2;1;1;B02
2013000079;7;16;2;1;13;A01
