num_acc;catv;obs;obsm;choc;manv;num_veh
2011000110;7;0;2;2;19;A01
2011000110;7;0;2;1;1;B02
2011000111;2;0;2;1;13;A01
2011000111;7;0;2;1;1;B02
2011000112;15;0;1;2;2;A01
2011000113;7;0;0;5;15;B02
2011000113;33;0;2;1;1;A01
2011000114;2;0;2;1;0;B02
2011000114;7;0;2;3;15;A01
2011000115;33;0;2;1;1;B02
2011000115;7;0;2;5;15;A01
2011000116;30;13;0;1;0;A01
2011000117;10;0;2;1;1;A01
2011000117;31;0;2;1;13;B02
2011000118;7;0;0;3;13;A01
2011000118;7;0;0;2;1;B02
2011000119;7;0;0;7;15;A01
2011000119;15;0;0;1;1;B02
2011000120;7;0;1;2;19;A01
2011000121;7;0;1;2;1;A01
2011000122;7;1;1;1;1;A01
2011000123;10;0;2;3;1;B02
2011000123;10;0;2;1;0;A01
2011000124;36;8;0;1;2;A01
2011000125;31;6;0;1;19;A01
2011000126;2;0;2;4;15;A01
2011000126;7;0;2;1;1;B02
2011000127;7;0;1;2;1;A01
2011000128;13;8;0;8;1;A01
2011000129;17;0;0;3;17;B02
2011000129;7;0;2;2;17;A01
2011000130;7;0;2;3;0;A01
2011000130;7;0;2;3;0;B02
2011000131;7;0;2;7;13;B02
2011000131;7;2;2;8;1;A01
2011000132;10;0;2;1;17;A01
2011000132;30;0;0;4;13;B02
2011000133;7;0;2;6;15;A01
2011000133;10;0;2;1;1;B02
2011000134;7;0;2;2;1;A01
2011000134;31;0;0;7;15;B02
2011000135;7;6;0;1;1;A01
2011000136;7;0;1;4;23;A01
2011000136;7;0;2;1;1;B02
2011000137;7;0;0;3;15;A01
2011000137;33;0;0;1;17;B02
2011000138;7;0;1;1;1;A01
2011000139;30;0;2;1;13;A01
2011000139;7;0;2;3;1;B02
2011000140;2;13;0;1;2;A01
2011000141;7;2;0;1;1;A01
2011000142;33;0;5;1;0;A01
2011000143;7;1;0;1;14;A01
2011000144;21;0;2;2;15;A01
2011000144;30;0;2;1;0;B02
2011000145;7;0;2;3;1;A01
2011000145;7;0;2;3;1;B02
2011000146;7;13;0;1;0;A01
2011000147;7;0;2;1;1;B02
2011000147;7;0;2;1;1;A01
2011000148;33;6;0;1;0;A01
2011000149;30;0;2;1;1;A01
2011000149;7;0;0;2;0;B02
2011000150;30;0;2;1;11;A01
2011000150;10;0;2;1;12;B02
2011000151;10;0;2;1;15;A01
2011000151;33;0;2;1;1;B02
2011000152;31;0;2;3;1;B02
2011000152;10;0;2;3;15;A01
2011000153;10;0;2;1;1;A01
2011000153;10;0;2;4;1;B02
2011000153;7;0;2;1;1;C03
2011000154;33;7;0;1;1;A01
2011000155;10;0;9;2;1;A01
2011000155;1;0;0;1;0;B02
2011000156;17;0;1;3;1;A01
2011000157;7;0;1;2;1;A01
2011000158;10;0;0;0;23;B02
2011000158;7;0;1;2;17;A01
2011000159;7;0;2;3;15;B02
2011000159;30;0;2;1;17;A01
2011000160;32;0;1;1;1;A01
2011000161;33;0;2;3;21;A01
2011000161;17;0;2;6;15;B02
2011000162;7;0;1;3;1;A01
2011000163;7;0;2;3;19;B02
2011000163;3;0;2;7;1;A01
2011000164;7;0;0;1;2;A01
2011000164;7;0;0;4;2;B02
2011000165;7;0;1;7;1;A01
2011000166;7;0;1;2;1;A01
2011000167;7;2;0;2;14;A01
2011000168;2;0;2;1;1;B02
2011000168;7;0;0;2;15;A01
2011000169;7;2;0;8;1;A01
2011000170;1;0;2;7;1;A01
2011000170;14;0;9;1;1;B02
2011000171;7;0;2;2;1;A01
2011000171;30;0;2;3;1;B02
2011000172;33;12;0;4;15;A01
2011000173;7;13;0;9;1;A01
2011000174;7;0;2;8;1;B02
2011000174;33;13;2;8;1;A01
2011000175;7;0;1;1;1;A01
2011000176;7;16;0;9;1;A01
2011000177;2;0;0;4;1;A01
2011000177;7;0;2;3;1;B02
2011000177;7;14;0;1;1;C03
2011000178;14;0;2;7;14;A01
2011000178;33;0;2;8;2;B02
2011000179;14;13;0;7;1;A01
2011000180;33;0;2;4;0;B02
2011000180;33;0;2;1;0;A01
2011000181;33;13;0;7;19;A01
2011000182;7;8;0;1;1;A01
2011000183;33;13;0;8;19;A01
2011000184;7;0;1;2;15;A01
2011000185;2;0;2;1;5;A01
2011000185;7;0;2;3;21;C03
2011000185;7;0;1;1;1;B02
2011000186;7;0;2;3;1;B02
2011000186;7;0;2;3;1;A01
