num_acc;catv;obs;obsm;choc;manv;num_veh
2014000001;33;0;2;1;1;A01
2014000001;7;0;0;6;15;B02
2014000002;7;1;0;7;13;A01
2014000003;2;0;2;1;1;A01
2014000003;7;0;2;7;15;B02
2014000004;7;0;2;1;13;A01
2014000004;38;0;2;1;0;B02
2014000005;7;0;2;2;13;B02
2014000005;7;0;2;2;1;A01
2014000006;17;0;0;5;1;B02
2014000006;7;0;2;1;6;A01
2014000007;30;0;0;0;1;A01
2014000008;7;7;0;3;1;A01
2014000009;1;0;2;1;1;A01
2014000009;14;0;9;2;1;B02
2014000010;7;8;0;6;1;A01
2014000011;7;0;2;1;13;A01
2014000011;7;0;2;1;1;B02
2014000012;7;0;2;7;15;A01
2014000012;31;0;2;1;1;B02
2014000013;7;0;2;0;1;A01
2014000014;14;0;0;3;10;B02
2014000014;31;0;0;1;2;A01
2014000015;7;0;2;3;1;B02
2014000015;10;0;2;3;1;C03
2014000015;15;0;2;6;1;A01
2014000016;7;2;0;1;1;A01
2014000017;7;0;2;7;1;B02
2014000017;7;0;2;1;1;A01
2014000018;7;0;2;2;2;A01
2014000018;1;0;0;4;1;B02
2014000019;2;0;2;1;1;B02
2014000019;7;0;2;2;15;A01
2014000020;1;0;0;0;1;A01
2014000021;21;0;0;6;15;B02
2014000021;33;0;2;1;1;A01
2014000022;1;0;2;1;1;B02
2014000022;7;0;2;7;15;A01
2014000023;10;0;2;3;15;A01
2014000023;3;0;2;2;1;B02
2014000024;7;0;2;1;13;A01
2014000024;7;0;2;1;1;B02
2014000025;7;0;2;1;1;B02
2014000025;7;0;2;1;13;A01
2014000026;33;0;2;1;17;A01
2014000026;17;0;2;8;1;B02
2014000027;33;0;0;1;17;A01
2014000028;10;0;2;1;1;A01
2014000028;7;0;2;7;1;B02
2014000029;37;0;2;2;2;A01
2014000029;7;0;0;6;10;B02
2014000030;14;0;2;8;1;A01
2014000030;1;0;2;8;1;B02
2014000031;7;2;0;1;1;A01
2014000032;10;0;1;2;16;A01
2014000033;7;0;2;2;17;A01
2014000033;1;0;2;3;15;B02
2014000034;31;0;0;7;1;A01
2014000035;7;0;2;7;16;A01
2014000035;30;0;2;1;1;B02
2014000036;7;0;1;1;1;A01
2014000037;7;13;0;3;13;A01
2014000038;7;0;0;5;23;A01
2014000038;7;1;0;3;1;B02
2014000039;33;1;0;1;1;A01
2014000040;7;13;0;9;1;A01
2014000041;7;0;0;5;2;B02
2014000041;31;0;2;1;2;A01
2014000042;7;0;1;3;1;A01
2014000043;7;0;1;2;1;A01
2014000044;33;13;0;7;16;A01
2014000045;7;13;0;1;14;A01
2014000046;7;0;9;1;1;B02
2014000046;1;0;2;7;19;A01
2014000047;36;0;2;1;1;B02
2014000047;7;0;2;3;19;A01
2014000048;7;0;2;1;1;C03
2014000048;10;0;2;3;13;A01
2014000048;10;0;2;8;1;B02
2014000049;7;13;0;1;1;A01
2014000050;7;0;1;3;1;A01
2014000051;34;0;2;1;17;A01
2014000051;21;0;2;3;15;B02
2014000052;7;13;0;1;17;A01
2014000053;7;6;2;9;13;A01
2014000053;10;0;2;7;21;B02
2014000054;10;0;2;8;15;A01
2014000054;33;0;2;1;1;B02
2014000055;30;0;2;1;17;A01
2014000055;7;0;2;3;15;B02
2014000056;7;13;0;1;1;A01
2014000057;34;0;2;7;13;A01
2014000057;7;0;2;3;15;B02
2014000058;15;0;1;5;16;A01
2014000059;7;6;0;1;14;A01
2014000060;7;0;2;3;3;A01
2014000060;7;0;2;3;1;B02
2014000061;38;0;2;3;15;A01
2014000061;33;0;2;1;17;B02
2014000062;7;0;2;7;19;A01
2014000062;7;0;2;1;1;B02
2014000063;7;0;0;1;1;A01
2014000064;7;0;1;3;1;A01
2014000065;35;6;0;1;1;A01
2014000066;7;0;0;1;1;A01
2014000066;7;0;0;1;0;B02
2014000067;7;13;0;2;14;A01
2014000068;7;0;2;8;15;A01
2014000068;33;0;2;1;17;B02
2014000069;7;0;2;2;15;A01
2014000069;7;0;2;3;1;B02
2014000070;10;0;0;2;15;A01
2014000070;15;0;2;1;1;B02
2014000071;7;0;2;1;19;A01
2014000071;15;0;2;8;1;C03
2014000071;7;0;2;2;1;B02
2014000072;7;0;2;2;1;A01
2014000072;1;0;2;8;15;B02
2014000073;7;13;0;1;1;A01
2014000074;33;8;0;1;1;A01
2014000075;7;0;1;2;1;A01
2014000076;7;0;2;3;16;A01
2014000076;33;0;2;2;1;B02
2014000077;7;0;2;1;13;A01
2014000077;7;0;2;1;1;B02
2014000078;7;1;0;1;1;B02
2014000078;21;0;0;6;23;A01
2014000079;33;0;2;1;1;B02
2014000079;7;0;2;8;10;A01
2014000080;7;3;0;1;0;A01
2014000081;32;0;0;8;1;B02
2014000081;7;0;0;0;1;A01
2014000082;33;0;2;1;1;B02
2014000082;10;0;2;8;15;A01
2014000083;7;0;1;2;1;A01
2014000084;14;1;0;1;14;A01
2014000085;7;0;2;8;15;A01
2014000085;7;0;2;1;21;B02
2014000086;10;8;0;1;1;A01
2014000087;7;13;0;9;1;A01
2014000088;7;0;1;2;1;A01
2014000089;7;13;0;1;1;A01
2014000090;33;0;0;0;14;A01
2014000091;33;0;2;1;1;B02
2014000091;7;0;2;3;15;A01
2014000092;30;13;0;1;1;A01
2014000093;1;0;2;4;13;A01
2014000093;7;0;2;1;2;B02
2014000094;15;0;2;1;1;A01
2014000094;7;0;2;8;19;B02
2014000095;33;0;2;1;1;A01
2014000095;7;0;2;3;15;B02
2014000096;7;0;2;3;1;B02
2014000096;33;0;2;1;11;A01
2014000097;17;0;0;0;0;B02
2014000097;7;0;0;0;0;A01
2014000098;33;0;2;1;1;A01
2014000098;7;0;0;4;23;B02
2014000099;30;0;1;1;1;A01
2014000100;7;0;1;2;1;A01
2014000101;31;0;0;6;23;A01
2014000102;2;0;2;3;1;A01
2014000103;7;0;1;1;1;A01
2014000104;33;12;0;1;1;A01
2014000105;7;0;0;4;20;A01
2014000106;7;8;0;4;1;A01
2014000107;7;6;9;1;1;A01
2014000108;14;0;0;0;1;A01
2014000108;1;0;0;0;0;B02
2014000109;7;0;2;7;1;B02
2014000109;30;0;2;3;19;A01
2014000110;10;0;1;3;1;A01
2014000111;7;0;1;2;1;A01
2014000112;7;0;2;2;13;A01
2014000112;7;0;0;6;0;B02
2014000113;7;0;9;2;1;A01
2014000113;30;0;2;1;0;B02
2014000114;7;13;0;1;1;A01
2014000115;7;0;1;1;3;A01
2014000116;10;7;0;1;1;A01
2014000117;33;13;0;1;0;A01
2014000118;7;2;0;0;1;A01
2014000119;31;6;0;1;1;A01
2014000120;7;0;2;1;13;A01
2014000120;7;0;2;1;0;B02
2014000121;33;0;2;1;1;A01
2014000121;7;0;2;7;15;B02
2014000122;17;0;0;0;17;A01
2014000122;1;0;0;0;1;B02
2014000123;33;0;2;1;17;A01
2014000123;21;0;0;3;15;B02
2014000124;2;1;0;1;1;A01
2014000125;7;0;2;1;1;A01
