num_acc;catv;obs;obsm;choc;manv;num_veh
2015000001;33;0;2;1;1;A01
2015000001;7;0;2;5;20;B02
2015000002;30;12;2;3;17;A01
2015000002;7;0;2;3;23;B02
2015000003;30;0;2;1;1;B02
2015000003;7;0;2;4;1;A01
2015000004;7;0;2;1;1;A01
2015000004;2;0;2;1;13;B02
2015000005;7;0;1;0;1;A01
2015000006;7;0;2;1;1;B02
2015000006;7;7;2;5;19;A01
2015000007;7;0;2;1;11;A01
2015000007;7;0;2;1;1;B02
2015000008;7;0;2;3;13;A01
2015000008;7;0;2;3;1;B02
2015000009;7;0;2;1;1;A01
2015000009;7;0;2;8;15;B02
2015000010;31;0;2;1;0;B02
2015000010;10;0;0;3;15;A01
2015000011;7;0;2;7;19;A01
2015000011;33;0;2;1;1;B02
2015000012;33;0;2;1;1;B02
2015000012;10;0;2;3;15;A01
2015000013;2;0;2;1;1;A01
2015000013;7;0;2;3;15;B02
2015000014;7;0;2;1;19;B02
2015000014;7;0;0;2;1;A01
2015000015;7;0;2;1;9;A01
2015000015;31;0;2;7;17;B02
2015000016;7;8;0;2;1;A01
2015000017;7;0;2;2;2;B02
2015000017;7;0;2;4;2;A01
2015000018;33;0;2;1;17;A01
2015000018;7;0;2;4;15;B02
2015000019;33;0;2;2;1;B02
2015000019;7;0;2;1;10;A01
2015000020;7;0;2;1;1;B02
2015000020;7;0;2;2;1;C03
2015000020;7;0;9;0;1;D04
2015000020;7;0;2;1;0;A01
2015000021;7;0;2;3;1;A01
2015000021;7;0;2;8;19;B02
2015000022;7;13;0;1;0;A01
2015000023;7;0;0;1;0;A01
2015000023;30;0;0;7;0;B02
2015000024;10;0;2;1;1;A01
2015000024;31;0;2;7;15;B02
2015000025;7;0;1;5;1;A01
2015000026;7;0;1;3;1;A01
2015000027;7;0;2;1;1;B02
2015000027;7;0;2;1;13;A01
2015000028;7;13;0;1;1;A01
2015000029;30;0;2;8;0;A01
2015000030;7;0;2;1;1;A01
2015000030;7;0;2;2;19;B02
2015000031;7;6;0;1;1;A01
2015000032;7;0;2;3;17;A01
2015000032;7;0;2;1;2;B02
2015000033;21;0;0;9;1;A01
2015000034;10;0;2;1;19;A01
2015000034;7;0;0;8;1;B02
2015000035;7;0;2;1;13;A01
2015000035;7;0;2;1;1;B02
2015000036;14;0;2;1;1;B02
2015000036;7;0;2;1;5;A01
2015000037;7;0;2;1;1;B02
2015000037;7;0;2;8;15;A01
2015000038;14;0;1;7;16;A01
2015000039;7;0;2;8;19;A01
2015000039;7;0;2;1;1;B02
2015000040;7;0;2;1;1;B02
2015000040;7;0;2;3;19;A01
2015000041;7;8;0;7;14;A01
2015000042;33;0;0;0;17;A01
2015000043;7;13;0;1;14;A01
2015000044;33;13;0;1;1;A01
2015000045;7;0;2;1;19;A01
2015000045;7;0;0;8;1;B02
2015000046;7;13;0;9;1;A01
2015000047;10;0;2;1;1;B02
2015000047;7;0;2;3;21;C03
2015000047;7;0;2;1;13;A01
2015000048;33;0;2;1;17;A01
2015000048;99;0;2;3;15;B02
2015000049;35;0;2;3;13;A01
2015000049;7;0;2;7;1;C03
2015000049;7;0;2;3;1;B02
2015000050;7;0;2;2;17;A01
2015000050;7;0;2;7;1;C03
2015000050;7;0;2;6;2;B02
2015000051;7;0;1;3;1;A01
2015000052;30;0;2;1;5;A01
2015000052;7;0;2;2;1;B02
2015000053;7;13;0;2;14;A01
2015000054;10;8;0;1;1;A01
2015000055;33;0;2;1;21;B02
2015000055;7;0;2;3;10;A01
2015000056;37;0;1;3;1;A01
2015000057;7;0;1;3;1;A01
2015000058;7;13;0;1;1;A01
2015000059;14;0;0;3;1;B02
2015000059;7;0;0;3;13;A01
2015000060;7;6;0;1;1;A01
2015000061;7;2;0;1;19;A01
2015000062;7;0;2;7;17;A01
2015000062;1;0;2;8;1;B02
2015000063;7;0;2;3;1;B02
2015000063;7;0;2;3;13;A01
2015000064;7;0;1;2;2;A01
2015000065;7;13;0;4;1;A01
2015000066;7;6;0;2;13;A01
2015000067;7;0;2;8;15;B02
2015000067;36;0;2;1;1;A01
2015000068;7;0;2;8;2;B02
2015000068;7;8;2;8;2;A01
2015000069;7;0;2;1;1;B02
2015000069;7;0;2;7;13;A01
2015000070;33;13;0;1;1;A01
2015000071;7;0;2;2;1;B02
2015000071;7;0;2;2;13;A01
2015000072;7;0;1;6;4;A01
2015000073;7;0;2;1;1;C03
2015000073;7;0;2;1;6;A01
2015000073;7;0;2;1;1;B02
2015000074;10;0;2;3;15;A01
2015000074;33;0;2;1;1;B02
2015000075;2;0;2;7;1;B02
2015000075;7;0;2;3;16;A01
2015000076;33;0;0;1;1;A01
