num_acc;catv;obs;obsm;choc;manv;num_veh
2016000001;7;0;0;1;1;B02
2016000001;2;0;0;7;15;A01
2016000002;7;6;0;1;1;A01
2016000003;7;0;1;6;1;A01
2016000004;32;0;0;1;1;B02
2016000004;7;0;0;8;15;A01
2016000005;30;0;2;1;15;B02
2016000005;7;0;2;3;1;A01
2016000006;7;0;1;1;1;A01
2016000007;30;0;0;3;15;A01
2016000007;7;0;2;2;17;B02
2016000008;7;0;2;2;1;B02
2016000008;7;0;2;3;13;A01
2016000009;7;0;0;3;1;A01
2016000009;30;0;0;2;1;B02
2016000010;7;0;1;2;1;A01
2016000011;7;0;1;1;1;A01
2016000012;33;0;0;0;1;A01
2016000013;7;0;1;2;1;A01
2016000014;33;0;2;1;13;A01
2016000014;33;14;0;9;21;B02
2016000014;7;0;2;3;1;C03
2016000015;1;0;2;1;0;B02
2016000015;1;0;2;1;0;C03
2016000015;7;0;2;3;16;A01
2016000016;7;0;2;5;10;C03
2016000016;7;0;2;2;10;B02
2016000016;33;0;2;2;1;A01
2016000017;7;2;0;8;1;A01
2016000018;7;0;2;1;0;A01
2016000018;7;0;2;3;16;B02
2016000019;33;0;2;8;23;C03
2016000019;7;0;2;1;1;B02
2016000019;7;16;2;3;15;A01
2016000020;7;0;2;8;5;A01
2016000020;7;0;2;3;1;B02
2016000021;30;0;1;1;1;A01
2016000022;10;0;2;1;19;B02
2016000022;7;0;2;8;1;A01
2016000023;7;13;0;1;1;A01
2016000024;7;13;0;1;1;A01
2016000025;7;13;0;1;1;A01
2016000026;7;0;1;1;1;A01
2016000027;7;0;1;1;1;A01
2016000028;7;0;2;1;1;B02
2016000028;7;0;0;8;10;A01
2016000029;7;6;0;1;1;A01
2016000029;7;0;9;1;1;B02
2016000030;7;0;1;2;2;A01
2016000031;17;0;2;3;17;A01
2016000031;21;0;0;4;15;B02
2016000032;7;0;0;4;15;B02
2016000032;33;0;2;1;1;A01
2016000033;7;0;1;3;1;A01
2016000034;17;0;2;3;13;A01
2016000034;17;0;2;3;1;B02
2016000035;7;6;0;7;1;A01
2016000036;7;0;2;6;1;B02
2016000036;10;0;2;2;13;A01
2016000037;7;13;0;1;1;A01
2016000038;7;0;2;5;19;A01
2016000038;7;0;2;1;1;B02
2016000039;33;9;0;1;1;A01
2016000040;7;8;0;1;0;A01
2016000041;33;0;2;1;17;B02
2016000041;7;0;0;3;13;A01
2016000042;10;2;0;1;19;A01
2016000043;33;6;0;1;13;A01
2016000044;7;13;0;7;1;A01
2016000045;7;0;1;2;1;A01
2016000046;7;13;0;2;1;A01
2016000047;33;0;2;1;1;B02
2016000047;21;0;2;3;15;A01
2016000048;33;0;0;8;1;A01
2016000049;36;3;0;1;15;A01
2016000050;7;0;0;3;15;A01
2016000050;7;0;2;1;21;B02
2016000051;7;0;0;3;1;B02
2016000051;10;0;0;3;13;A01
2016000052;7;0;2;2;1;A01
2016000052;1;0;2;3;19;B02
2016000053;7;13;0;3;1;A01
2016000054;7;0;2;3;1;A01
2016000054;7;0;2;3;1;B02
2016000055;33;0;0;0;1;A01
2016000056;32;0;1;1;1;A01
2016000057;10;0;1;3;1;B02
2016000057;7;0;1;3;1;A01
2016000058;7;13;0;8;13;A01
2016000059;7;8;0;7;5;A01
2016000060;33;0;2;1;5;B02
2016000060;7;0;2;3;6;A01
2016000061;7;0;1;1;1;A01
2016000062;7;0;2;1;15;A02
2016000062;2;0;2;1;2;B02
2016000063;7;0;2;1;1;A01
2016000063;7;0;2;8;1;B02
2016000064;7;0;0;9;1;A01
2016000065;7;0;0;1;1;A01
2016000066;15;0;2;3;1;A01
2016000066;10;0;2;1;13;B02
2016000067;7;0;0;5;0;A01
2016000067;33;0;0;1;0;B02
2016000068;33;0;2;1;16;A01
2016000068;7;0;2;1;1;B02
2016000069;7;0;1;2;2;A01
2016000070;7;0;2;7;16;A01
2016000070;1;0;2;8;15;B02
2016000071;21;0;2;3;1;B02
2016000071;7;0;2;1;1;A01
2016000072;2;0;1;2;1;A01
2016000073;30;0;2;5;15;A01
2016000073;7;0;2;2;1;B02
2016000074;7;2;0;1;0;A01
2016000075;7;0;2;1;1;B02
2016000075;7;0;2;1;1;A01
2016000076;7;0;0;2;2;A01
2016000076;1;0;0;4;0;B02
2016000077;33;0;2;1;1;B02
2016000077;14;0;2;6;10;A01
2016000078;7;0;0;0;0;A01
2016000079;7;8;0;8;0;A01
2016000080;7;0;1;2;1;A01
2016000081;7;0;2;5;1;A01
2016000081;30;0;2;1;1;B02
2016000082;31;0;2;1;21;A01
2016000082;2;0;2;3;15;B02
2016000082;7;0;2;4;0;C03
2016000083;1;0;4;2;0;A01
2016000083;39;0;2;3;1;B02
2016000084;7;0;2;2;2;Z01
2016000084;1;0;2;8;2;A02
