num_acc;catv;obs;obsm;choc;manv;num_veh
2017000001;7;0;2;3;9;B01
2017000001;10;0;2;3;13;A01
2017000002;7;0;0;1;16;A01
2017000002;1;0;0;7;1;B01
2017000003;10;0;2;1;1;C01
2017000003;7;0;2;3;13;A01
2017000003;7;0;2;6;1;B01
2017000004;7;6;0;1;1;A01
2017000005;33;1;2;1;1;B01
2017000005;7;0;2;5;19;A01
2017000006;34;12;0;1;17;A01
2017000007;2;1;0;1;13;A01
2017000007;7;0;0;0;1;B01
2017000008;7;0;0;1;19;B01
2017000008;33;0;0;1;1;A01
2017000009;7;2;0;4;2;A01
2017000010;33;0;0;0;1;A01
2017000011;17;0;1;2;1;A01
2017000012;33;13;0;1;1;A01
2017000013;7;0;2;3;0;A01
2017000013;14;0;2;3;0;B01
2017000014;7;0;2;1;1;A01
2017000014;7;0;2;1;5;B01
2017000015;31;0;0;8;2;A01
2017000016;10;0;2;8;17;B01
2017000016;33;0;2;7;17;A01
2017000016;14;0;2;3;1;C01
2017000017;7;0;1;2;1;A01
2017000018;7;0;0;3;15;B01
2017000018;33;0;2;1;17;A01
2017000019;1;0;2;2;2;B01
2017000019;7;0;2;8;2;A01
2017000020;33;0;2;1;17;A01
2017000020;7;0;2;8;15;B01
2017000021;7;0;0;7;19;A01
2017000021;7;0;2;1;1;B01
2017000021;7;0;2;2;23;C01
2017000022;1;0;2;1;1;B01
2017000022;7;0;2;6;19;A01
2017000023;7;0;0;6;15;B01
2017000023;2;0;2;1;17;A01
2017000024;7;13;0;1;19;A01
2017000025;7;2;0;1;1;A01
2017000026;31;0;2;1;1;A01
2017000026;7;0;0;8;15;B01
2017000027;7;0;0;1;0;A01
2017000028;30;0;2;5;15;A01
2017000028;7;0;2;2;1;B01
2017000029;33;13;0;1;14;A01
2017000030;7;0;1;1;1;A01
2017000031;33;0;2;1;2;B01
2017000031;7;0;0;4;2;A01
2017000032;21;0;0;6;1;B01
2017000032;7;0;9;2;1;A01
2017000033;7;0;1;1;1;A01
2017000034;7;0;2;3;1;B01
2017000034;7;0;2;3;1;A01
2017000035;7;0;2;3;1;A01
2017000035;33;0;2;3;1;B01
2017000036;2;0;2;8;23;A01
2017000037;7;0;2;1;1;B01
2017000037;7;0;2;5;13;A01
2017000038;33;8;0;1;1;A01
2017000039;7;8;0;1;2;A01
2017000040;7;13;0;1;1;A01
2017000041;7;0;1;7;1;A01
2017000042;7;0;9;2;2;A01
2017000042;1;0;0;0;2;B01
2017000043;1;0;1;1;1;A01
2017000044;33;0;2;4;15;A01
2017000044;7;0;2;2;1;B01
2017000045;7;0;1;1;16;A01
2017000046;7;0;2;3;13;A01
2017000046;7;0;2;3;1;B01
2017000047;7;0;2;2;16;B01
2017000047;34;1;2;1;18;A01
2017000048;7;2;0;8;1;A01
2017000049;7;1;1;1;1;A01
2017000050;3;0;1;4;4;A01
2017000051;10;0;1;1;1;A01
