num_acc;lum;agg;inter;atm;col;dep;date
2015000001;1;2;1;1;3;590;20/01/2015
2015000002;1;2;1;1;1;590;06/06/2015
2015000003;1;2;1;1;2;590;08/07/2015
2015000004;1;2;1;1;1;590;22/07/2015
2015000005;1;2;1;1;6;590;13/11/2015
2015000006;3;2;1;1;3;590;28/01/2015
2015000007;5;1;1;1;1;590;04/06/2015
2015000008;1;1;1;1;1;590;01/08/2015
2015000009;3;1;1;1;3;590;01/10/2015
2015000010;5;2;1;1;1;590;01/03/2015
2015000011;1;1;1;1;3;590;18/04/2015
2015000012;1;2;1;1;1;590;27/05/2015
2015000013;1;2;9;7;1;590;11/06/2015
2015000014;5;2;3;1;3;590;06/07/2015
2015000015;1;2;1;1;3;590;07/07/2015
2015000016;3;1;1;1;6;590;16/08/2015
2015000017;1;2;1;2;2;590;28/03/2015
2015000018;1;2;1;1;2;590;14/04/2015
2015000019;4;2;1;1;3;590;17/12/2015
2015000020;3;1;1;2;5;590;16/01/2015
2015000021;1;1;2;1;3;590;05/06/2015
2015000022;3;1;9;1;7;590;18/06/2015
2015000023;1;1;2;1;3;590;29/07/2015
2015000024;1;2;1;1;1;590;02/08/2015
2015000025;5;2;1;1;7;590;25/10/2015
2015000026;3;1;1;2;6;590;06/11/2015
2015000027;1;1;1;1;1;590;10/11/2015
2015000028;1;1;1;3;7;590;08/01/2015
2015000029;3;1;1;2;6;590;12/01/2015
2015000030;1;1;2;7;3;590;31/01/2015
2015000031;1;2;1;1;6;590;16/03/2015
2015000032;1;1;1;2;1;590;16/03/2015
2015000033;3;1;1;1;7;590;23/05/2015
2015000034;1;1;1;1;3;590;03/07/2015
2015000035;1;1;1;1;1;590;27/09/2015
2015000036;1;2;1;1;1;590;22/10/2015
2015000037;5;2;2;1;3;590;30/10/2015
2015000038;2;2;1;1;6;590;10/12/2015
2015000039;1;1;1;1;3;590;18/02/2015
2015000040;1;1;1;1;3;590;18/02/2015
2015000041;1;1;1;1;6;590;27/02/2015
2015000042;1;1;1;1;7;590;10/04/2015
2015000043;3;1;1;2;6;590;25/04/2015
2015000044;2;1;1;1;6;590;14/05/2015
2015000045;3;1;2;1;3;590;24/05/2015
2015000046;3;1;1;1;6;590;24/05/2015
2015000047;1;1;1;1;5;590;08/07/2015
2015000048;1;1;1;1;3;590;22/07/2015
2015000049;1;1;1;1;5;590;23/07/2015
2015000050;1;1;1;2;5;590;30/07/2015
2015000051;1;2;1;1;6;590;03/09/2015
2015000052;3;1;1;1;1;590;03/10/2015
2015000053;1;1;1;2;6;590;05/10/2015
2015000054;1;1;1;1;6;590;12/10/2015
2015000055;3;1;1;1;3;590;03/11/2015
2015000056;5;2;1;1;6;590;12/01/2015
2015000057;1;2;1;1;6;590;06/05/2015
2015000058;1;1;1;1;6;590;28/11/2015
2015000059;1;2;1;7;3;590;28/04/2015
2015000060;1;2;1;1;6;590;12/07/2015
2015000061;1;1;1;1;6;590;23/08/2015
2015000062;1;2;1;5;3;590;02/11/2015
2015000063;1;1;1;1;1;590;17/11/2015
2015000064;2;2;1;2;6;590;13/01/2015
2015000065;1;1;1;2;7;590;18/09/2015
2015000066;3;1;1;2;6;590;16/10/2015
2015000067;2;2;3;1;3;590;08/11/2015
2015000068;1;1;1;1;6;590;16/12/2015
2015000069;1;1;1;1;1;590;29/12/2015
2015000070;1;1;1;6;7;590;09/01/2015
2015000071;1;1;1;1;1;590;27/02/2015
2015000072;1;2;1;1;6;590;17/04/2015
2015000073;1;1;1;1;5;590;22/04/2015
2015000074;1;1;1;1;3;590;19/06/2015
2015000075;1;1;3;1;3;590;05/07/2015
2015000076;1;1;1;1;7;590;02/08/2015
2015000077;1;1;1;1;3;590;03/10/2015
2015000078;1;1;1;1;1;590;30/10/2015
2015000079;3;1;1;1;6;590;04/12/2015
2015000080;3;1;1;2;6;590;13/12/2015
2015000081;1;1;9;1;1;590;04/03/2015
2015000082;1;1;8;1;3;590;13/06/2015
2015000083;3;1;1;1;6;590;12/11/2015
2015000084;1;2;1;1;6;590;09/08/2015
2015000085;1;2;1;1;7;590;08/10/2015
2015000086;5;2;1;1;7;590;25/10/2015
2015000087;3;1;1;1;7;590;03/11/2015
2015000088;2;1;1;1;1;590;09/11/2015
2015000089;3;1;1;2;7;590;30/11/2015
2015000090;1;1;1;8;3;590;18/12/2015
2015000091;1;2;1;3;6;590;29/03/2015
2015000092;1;1;1;6;2;590;05/05/2015
2015000093;1;2;1;1;1;590;22/05/2015
2015000094;3;1;6;1;6;590;11/08/2015
2015000095;1;1;1;1;6;590;01/11/2015
2015000096;1;2;6;7;6;590;28/11/2015
2015000097;1;1;1;1;3;590;17/12/2015
2015000098;1;1;1;1;3;590;07/02/2015
2015000099;3;1;1;1;5;590;12/05/2015
2015000100;3;1;1;1;7;590;03/07/2015
2015000101;3;1;1;1;2;590;23/02/2015
2015000102;1;1;1;7;2;590;08/11/2015
2015000103;3;2;1;2;7;590;14/11/2015
2015000104;5;2;1;1;6;590;27/11/2015
2015000105;2;2;1;1;3;590;02/04/2015
2015000106;2;1;1;1;3;590;19/04/2015
2015000107;1;1;1;1;1;590;16/05/2015
2015000108;1;1;1;1;6;590;05/07/2015
2015000109;3;1;1;2;1;590;27/07/2015
2015000110;1;1;1;1;1;590;10/08/2015
2015000111;1;1;1;1;1;590;06/10/2015
2015000112;3;1;1;8;7;590;18/10/2015
2015000113;5;2;1;2;6;590;06/11/2015
2015000114;5;2;5;1;6;590;04/01/2015
2015000115;5;2;1;1;6;590;10/01/2015
2015000116;1;1;1;1;6;590;06/03/2015
2015000117;1;1;1;1;6;590;27/03/2015
2015000118;3;1;1;1;7;590;06/04/2015
2015000119;3;2;1;1;3;590;02/08/2015
2015000120;1;2;7;3;6;590;03/09/2015
2015000121;2;1;9;1;1;590;26/10/2015
2015000122;1;1;1;1;6;590;11/03/2015
2015000123;2;1;1;1;1;590;17/04/2015
2015000124;1;1;1;1;3;590;11/09/2015
2015000125;3;1;1;8;1;590;13/12/2015
2015000126;1;2;1;1;2;590;02/05/2015
2015000127;1;1;1;1;3;590;09/05/2015
2015000128;1;1;1;1;6;590;15/06/2015
2015000129;1;1;1;1;6;590;05/07/2015
2015000130;1;1;1;1;1;590;06/09/2015
2015000131;1;1;1;1;5;590;12/09/2015
2015000132;1;1;1;1;1;590;21/10/2015
2015000133;1;1;2;1;1;590;28/01/2015
2015000134;1;2;1;1;6;590;07/04/2015
2015000135;3;1;1;5;7;590;01/01/2015
2015000136;1;1;1;2;3;590;27/01/2015
2015000137;1;2;1;1;7;590;11/05/2015
2015000138;5;2;1;1;3;590;23/06/2015
2015000139;5;2;1;1;6;590;04/08/2015
2015000140;1;2;1;1;6;590;23/08/2015
2015000141;1;1;1;1;7;590;12/10/2015
2015000142;5;2;1;2;6;590;05/11/2015
2015000143;3;1;1;1;7;590;13/11/2015
2015000144;2;2;1;9;6;590;05/01/2015
2015000145;1;2;8;1;6;590;07/03/2015
2015000146;1;2;9;1;3;590;22/04/2015
2015000147;3;1;1;1;3;590;02/05/2015
2015000148;1;2;9;1;6;590;06/05/2015
2015000149;1;2;1;1;6;590;08/06/2015
2015000150;1;2;1;1;6;590;02/08/2015
2015000151;1;2;1;1;6;590;25/07/2015
2015000152;1;2;2;1;6;590;25/09/2015
2015000153;1;1;1;2;6;590;14/02/2015
2015000154;1;2;1;1;3;590;06/07/2015
2015000155;5;2;1;1;5;590;05/03/2015
2015000156;1;1;2;1;3;590;20/08/2015
2015000157;1;1;1;1;1;590;03/11/2015
2015000158;3;1;1;1;2;590;28/12/2015
2015000159;2;1;1;2;1;590;25/04/2015
2015000160;2;1;1;1;3;590;07/05/2015
2015000161;1;1;1;1;1;590;14/07/2015
2015000162;3;1;1;1;3;590;25/07/2015
2015000163;1;2;1;1;6;590;10/09/2015
2015000164;1;2;1;2;1;590;20/11/2015
2015000165;2;1;1;8;1;590;28/11/2015
2015000166;1;1;1;1;6;590;02/12/2015
2015000167;3;1;1;1;6;590;05/12/2015
2015000168;1;1;1;1;6;590;18/03/2015
2015000169;1;2;1;1;1;590;22/03/2015
2015000170;3;1;6;1;7;590;10/04/2015
2015000171;1;2;1;1;2;590;12/05/2015
2015000172;1;1;1;1;4;590;19/05/2015
2015000173;1;2;1;2;3;590;17/11/2015
2015000174;2;2;1;2;1;590;20/11/2015
2015000175;5;2;1;2;7;590;25/11/2015
2015000176;1;2;1;1;3;590;31/12/2015
2015000177;1;2;1;1;6;590;17/04/2015
2015000178;1;2;1;1;6;590;05/06/2015
2015000179;1;2;6;2;7;590;08/07/2015
2015000180;5;2;1;1;6;590;25/09/2015
2015000181;1;2;3;1;1;590;11/11/2015
2015000182;5;1;2;3;3;590;08/01/2015
2015000183;1;1;1;2;1;590;15/01/2015
2015000184;3;1;1;1;6;590;13/03/2015
2015000185;3;1;1;1;7;590;14/04/2015
2015000186;1;2;1;1;1;590;22/05/2015
2015000187;1;2;1;1;1;590;27/06/2015
2015000188;1;1;1;2;7;590;05/07/2015
2015000189;1;1;1;1;3;590;27/10/2015
