num_acc;lum;agg;inter;atm;col;dep;date
2016000001;1;2;1;8;3;590;01/02/2016
2016000002;1;2;6;1;6;590;16/03/2016
2016000003;1;1;1;1;6;590;13/07/2016
2016000004;2;2;1;7;3;590;15/08/2016
2016000005;1;2;3;1;3;590;23/12/2016
2016000006;1;2;1;7;6;590;23/12/2016
2016000007;1;2;1;7;2;590;01/05/2016
2016000008;2;1;1;1;1;590;14/05/2016
2016000009;1;2;1;1;3;590;23/09/2016
2016000010;1;1;1;9;6;590;30/12/2016
2016000011;2;2;1;8;6;590;25/01/2016
2016000012;3;1;1;1;7;590;28/01/2016
2016000013;1;2;1;1;6;590;05/02/2016
2016000014;1;2;1;1;5;590;17/04/2016
2016000015;1;1;6;7;5;590;17/08/2016
2016000016;1;1;1;1;5;590;08/09/2016
2016000017;3;1;1;8;6;590;08/11/2016
2016000018;2;2;1;5;3;590;28/11/2016
2016000019;1;1;1;1;5;590;06/05/2016
2016000020;5;2;6;2;3;590;05/09/2016
2016000021;1;2;1;1;6;590;14/10/2016
2016000022;1;1;2;1;3;590;02/04/2016
2016000023;1;1;1;3;6;590;07/11/2016
2016000024;3;1;1;2;6;590;12/11/2016
2016000025;3;1;1;9;7;590;04/12/2016
2016000026;1;2;1;7;6;590;06/12/2016
2016000027;1;2;1;1;6;590;15/12/2016
2016000028;3;1;1;1;3;590;09/12/2016
2016000029;3;1;1;5;1;590;28/12/2016
2016000030;1;2;1;1;6;590;06/05/2016
2016000031;1;1;1;1;2;590;28/09/2016
2016000032;1;1;1;1;2;590;01/11/2016
2016000033;1;2;3;3;6;590;07/01/2016
2016000034;1;1;1;1;1;590;14/01/2016
2016000035;5;1;1;2;6;590;09/02/2016
2016000036;3;1;1;6;1;590;08/02/2016
2016000037;3;1;1;1;6;590;06/03/2016
2016000038;1;1;1;1;3;590;05/04/2016
2016000039;1;2;1;1;6;590;12/05/2016
2016000040;2;2;1;1;6;590;29/05/2016
2016000041;1;1;1;1;3;590;10/06/2016
2016000042;1;1;1;1;6;590;27/07/2016
2016000043;5;2;1;1;6;590;01/09/2016
2016000044;1;1;1;1;6;590;05/11/2016
2016000045;5;2;1;2;6;590;18/11/2016
2016000046;3;1;1;1;6;590;27/11/2016
2016000047;1;1;2;1;3;590;20/04/2016
2016000048;1;1;1;1;7;590;04/07/2016
2016000049;4;2;1;1;7;590;07/08/2016
2016000050;1;1;1;1;3;590;08/09/2016
2016000051;1;1;1;1;1;590;29/04/2016
2016000052;1;2;1;2;3;590;01/06/2016
2016000053;3;1;1;2;7;590;17/06/2016
2016000054;1;1;1;1;1;590;25/08/2016
2016000055;1;1;1;2;7;590;18/09/2016
2016000056;2;1;1;1;6;590;18/10/2016
2016000057;3;1;1;5;1;590;19/12/2016
2016000058;3;2;1;1;6;590;10/03/2016
2016000059;1;1;1;2;6;590;29/06/2016
2016000060;1;2;1;1;3;590;17/09/2016
2016000061;5;2;9;1;6;590;07/12/2016
2016000062;3;2;1;1;6;590;14/12/2016
2016000063;1;1;2;1;3;590;12/01/2016
2016000064;3;1;1;2;7;590;24/01/2016
2016000065;1;1;1;2;6;590;27/04/2016
2016000066;1;1;1;1;1;590;27/06/2016
2016000067;1;1;1;1;2;590;06/07/2016
2016000068;3;1;2;1;3;590;09/08/2016
2016000069;1;1;1;1;6;590;22/08/2016
2016000070;1;2;6;1;3;590;21/09/2016
2016000071;5;2;1;1;1;590;06/10/2016
2016000072;3;1;1;5;6;590;25/10/2016
2016000073;5;2;2;1;3;590;27/09/2016
2016000074;3;1;1;1;6;590;26/11/2016
2016000075;5;2;1;1;1;590;03/12/2016
2016000076;1;2;1;1;2;590;29/03/2016
2016000077;1;1;1;1;3;590;21/04/2016
2016000078;2;1;1;1;7;590;23/07/2016
2016000079;1;1;1;3;6;590;02/10/2016
2016000080;3;1;1;2;6;590;02/01/2016
2016000081;1;1;2;1;3;590;22/01/2016
2016000082;1;2;1;1;5;590;20/03/2016
2016000083;1;2;8;1;3;590;02/04/2016
2016000084;3;1;1;1;2;590;02/04/2016
2016000085;1;1;1;1;6;590;15/04/2016
2016000086;1;2;1;1;6;590;16/04/2016
2016000087;1;1;6;2;2;590;30/05/2016
2016000088;1;2;6;1;3;590;09/08/2016
2016000089;3;1;1;1;1;590;10/09/2016
2016000090;5;1;1;1;6;590;24/12/2016
2016000091;1;1;9;1;7;590;09/01/2016
2016000092;1;1;1;1;6;590;05/04/2016
2016000093;5;1;1;1;6;590;08/08/2016
2016000094;1;1;1;1;3;590;01/10/2016
2016000095;1;1;1;1;1;590;04/04/2016
2016000096;3;1;1;1;3;590;30/11/2016
2016000097;1;2;1;1;6;590;15/03/2016
2016000098;1;1;1;1;1;590;28/08/2016
2016000099;5;2;1;1;6;590;04/02/2016
2016000100;5;2;1;1;6;590;09/03/2016
2016000101;1;1;1;1;5;590;14/04/2016
2016000102;1;1;1;1;1;590;19/06/2016
2016000103;2;1;1;1;7;590;16/08/2016
2016000104;1;2;1;1;1;590;25/11/2016
2016000105;3;1;1;2;7;590;23/12/2016
2016000106;1;2;1;1;6;590;06/01/2016
2016000107;3;2;1;1;7;590;20/03/2016
2016000108;2;1;1;1;3;590;28/05/2016
2016000109;1;1;1;1;1;590;12/08/2016
2016000110;1;2;1;1;6;590;26/11/2016
2016000111;5;2;1;8;6;590;27/11/2016
2016000112;2;2;1;5;7;590;02/12/2016
2016000113;1;2;1;5;6;590;02/12/2016
2016000114;1;2;2;1;3;590;05/12/2016
2016000115;3;1;1;2;7;590;09/12/2016
2016000116;1;1;1;1;6;590;13/12/2016
2016000117;5;2;1;9;6;590;18/12/2016
2016000118;1;2;1;1;6;590;24/07/2016
2016000119;1;1;1;2;1;590;02/08/2016
2016000120;5;2;1;5;1;590;21/10/2016
2016000121;1;1;1;1;7;590;29/10/2016
2016000122;2;1;1;1;5;590;10/11/2016
2016000123;5;2;1;1;6;590;17/12/2016
2016000124;1;2;1;1;1;590;21/08/2016
2016000125;1;1;1;9;6;590;10/12/2016
2016000126;3;1;1;5;3;590;26/12/2016
2016000127;1;1;1;1;1;590;23/01/2016
2016000128;1;1;1;1;6;590;03/04/2016
2016000129;5;2;1;2;6;590;07/02/2016
2016000130;3;1;1;1;3;590;23/08/2016
2016000131;1;2;1;1;6;590;16/10/2016
2016000132;1;1;1;1;3;590;20/10/2016
2016000133;1;2;1;3;6;590;20/06/2016
2016000134;5;2;1;1;6;590;21/06/2016
2016000135;5;2;1;1;1;590;27/08/2016
2016000136;1;2;1;1;6;590;03/09/2016
2016000137;3;1;1;1;6;590;10/09/2016
2016000138;1;2;2;1;3;590;05/02/2016
2016000139;1;1;1;3;1;590;30/05/2016
2016000140;1;1;1;1;6;590;09/12/2016
2016000141;1;1;1;1;6;590;27/05/2016
2016000142;1;1;1;1;7;590;22/07/2016
2016000143;1;1;1;1;6;590;26/08/2016
2016000144;5;2;1;1;6;590;15/12/2016
2016000145;1;2;1;1;1;590;22/07/2016
2016000146;1;2;1;1;3;590;08/08/2016
2016000147;3;1;1;1;2;590;19/08/2016
2016000148;1;1;1;1;6;590;06/02/2016
2016000149;1;1;1;1;1;590;24/02/2016
2016000150;3;2;1;1;7;590;16/06/2016
2016000151;1;2;1;1;6;590;08/07/2016
2016000152;1;2;1;1;6;590;12/09/2016
2016000153;3;1;1;1;6;590;02/11/2016
2016000154;2;2;1;1;7;590;11/02/2016
2016000155;1;2;1;1;6;590;02/07/2016
2016000156;2;2;1;1;3;590;28/08/2016
2016000157;5;2;1;2;1;590;17/12/2016
2016000158;3;1;6;1;7;590;21/12/2016
2016000159;1;2;6;1;3;590;27/12/2016
2016000160;3;2;1;1;6;590;28/01/2016
2016000161;1;2;1;1;2;590;09/07/2016
2016000162;1;2;1;7;6;590;30/08/2016
2016000163;1;1;1;1;4;590;02/09/2016
2016000164;1;2;1;1;1;590;13/09/2016
2016000165;2;1;1;1;6;590;14/10/2016
2016000166;1;2;1;1;2;590;30/10/2016
2016000167;1;1;1;7;3;590;19/11/2016
2016000168;1;2;1;1;6;590;03/12/2016
2016000169;1;2;1;8;1;590;29/01/2016
2016000170;2;2;1;2;6;590;02/02/2016
2016000171;1;1;1;1;1;590;25/02/2016
2016000172;1;2;1;1;7;590;27/02/2016
2016000173;1;2;1;1;7;590;13/03/2016
2016000174;2;1;1;1;1;590;16/03/2016
2016000175;3;1;1;1;5;590;17/03/2016
2016000176;3;2;1;1;7;590;08/06/2016
2016000177;2;1;1;1;6;590;13/08/2016
2016000178;5;1;1;1;7;590;26/08/2016
2016000179;1;1;1;1;7;590;08/09/2016
2016000180;3;1;1;1;7;590;14/10/2016
2016000181;3;1;1;9;6;590;23/12/2016
2016000182;3;1;1;9;1;590;29/12/2016
2016000183;1;1;1;4;4;590;07/03/2016
2016000184;1;2;1;8;6;590;07/04/2016
2016000185;2;1;1;1;7;590;09/04/2016
2016000186;1;2;1;5;3;590;26/10/2016
2016000187;3;1;1;2;6;590;10/01/2016
2016000188;1;1;1;1;7;590;26/02/2016
2016000189;3;1;1;8;5;590;13/12/2016
2016000190;1;1;1;1;1;620;25/02/2016
2016000191;1;1;1;1;6;620;11/07/2016
2016000192;1;1;1;7;1;620;14/09/2016
2016000193;2;1;1;5;1;620;15/11/2016
2016000194;3;1;1;6;4;620;07/01/2016
2016000195;3;1;1;2;6;620;13/02/2016
2016000196;1;1;1;1;2;620;25/06/2016
2016000197;3;1;1;1;2;620;19/03/2016
2016000198;1;1;9;1;4;620;16/04/2016
2016000199;1;1;1;1;6;620;18/04/2016
2016000200;1;1;1;1;3;620;24/07/2016
2016000201;3;1;1;1;2;620;13/08/2016
2016000202;1;1;1;1;2;620;28/09/2016
2016000203;1;1;1;3;3;620;09/11/2016
2016000204;1;1;1;1;1;620;01/12/2016
2016000205;3;1;1;1;3;620;29/12/2016
2016000206;1;2;3;1;3;620;10/06/2016
2016000207;1;2;2;1;3;620;24/07/2016
2016000208;1;2;1;1;3;620;29/08/2016
2016000209;1;2;1;1;6;620;07/06/2016
2016000210;1;2;1;3;7;620;07/06/2016
2016000211;1;1;1;1;7;620;15/07/2016
2016000212;2;1;1;1;6;620;06/08/2016
2016000213;5;2;1;1;6;620;21/11/2016
2016000214;2;1;2;1;3;620;21/11/2016
2016000215;1;2;1;1;3;620;30/11/2016
2016000216;1;2;1;7;6;620;19/01/2016
2016000217;3;1;1;2;6;620;03/08/2016
2016000218;1;2;1;7;7;620;07/09/2016
2016000219;1;1;1;1;7;620;05/01/2016
2016000220;1;1;1;2;7;620;24/01/2016
2016000221;1;1;1;1;1;620;01/06/2016
2016000222;1;2;1;2;6;620;04/07/2016
2016000223;3;1;1;2;6;620;25/12/2016
2016000224;3;1;1;1;5;620;17/01/2016
2016000225;1;1;1;8;7;620;19/05/2016
2016000226;1;2;6;1;6;620;26/05/2016
2016000227;3;1;1;1;2;620;22/11/2016
2016000228;3;1;1;9;1;620;10/12/2016
2016000229;1;1;1;1;1;620;01/07/2016
2016000230;1;1;1;1;6;620;26/07/2016
2016000231;1;1;6;1;3;620;14/10/2016
2016000232;3;1;1;8;2;620;14/11/2016
2016000233;2;2;1;1;2;620;28/11/2016
2016000234;1;1;1;1;6;620;03/03/2016
2016000235;2;2;1;1;1;620;10/04/2016
2016000236;1;2;1;1;1;620;08/05/2016
2016000237;1;1;1;1;6;620;06/08/2016
2016000238;1;2;1;2;1;620;21/08/2016
2016000239;1;1;1;8;6;620;07/03/2016
2016000240;1;1;1;1;4;620;22/04/2016
2016000241;3;1;1;1;1;620;12/08/2016
2016000242;2;1;1;1;2;620;03/11/2016
2016000243;2;1;1;1;6;620;21/11/2016
2016000244;2;2;1;1;6;620;06/12/2016
2016000245;1;1;1;1;1;620;13/03/2016
2016000246;1;2;1;1;3;620;30/07/2016
2016000247;3;1;1;1;6;620;01/04/2016
2016000248;1;1;1;7;7;620;10/04/2016
2016000249;1;1;2;8;4;620;15/04/2016
2016000250;1;1;1;1;2;620;03/07/2016
2016000251;1;1;1;1;5;620;16/07/2016
2016000252;1;1;1;1;3;620;03/09/2016
2016000253;2;1;1;1;3;620;23/10/2016
2016000254;1;1;1;4;1;620;07/03/2016
2016000255;1;1;1;1;5;620;17/04/2016
2016000256;3;1;1;1;1;620;12/12/2016
2016000257;1;1;1;1;1;620;29/04/2016
2016000258;1;1;3;7;1;620;04/05/2016
2016000259;1;2;1;7;7;620;05/05/2016
2016000260;1;1;1;1;1;620;26/05/2016
2016000261;1;1;1;1;3;620;28/07/2016
2016000262;5;2;1;1;3;620;09/10/2016
2016000263;1;2;1;1;6;620;12/10/2016
2016000264;3;1;1;1;2;620;06/11/2016
2016000265;1;2;1;1;7;620;29/06/2016
2016000266;3;1;1;1;6;620;21/09/2016
2016000267;1;2;1;3;6;620;30/06/2016
2016000268;3;1;1;1;1;620;03/12/2016
2016000269;1;1;1;1;3;620;09/06/2016
2016000270;5;2;1;1;3;620;08/10/2016
2016000271;1;2;1;1;6;620;31/10/2016
2016000272;1;2;1;2;1;620;31/01/2016
2016000273;1;2;1;1;6;620;29/05/2016
2016000274;1;1;1;6;1;620;01/02/2016
2016000275;1;2;1;1;6;620;04/03/2016
2016000276;1;1;1;1;6;620;26/04/2016
2016000277;1;2;1;1;2;620;29/05/2016
2016000278;1;2;1;1;2;620;27/05/2016
2016000279;5;2;1;5;6;620;31/10/2016
2016000280;3;1;1;1;1;620;13/12/2016
2016000281;5;2;1;1;6;620;15/12/2016
2016000282;1;2;1;1;6;620;18/07/2016
2016000283;1;2;2;1;3;620;14/01/2016
2016000284;1;2;1;2;6;620;13/02/2016
2016000285;1;1;2;1;3;620;23/02/2016
2016000286;1;2;1;1;2;620;03/11/2016
2016000287;1;1;1;1;3;620;16/11/2016
2016000288;3;2;1;8;1;620;27/12/2016
2016000289;2;2;1;1;6;620;16/05/2016
2016000290;1;1;1;1;6;620;11/09/2016
2016000291;1;1;1;1;5;620;10/07/2016
2016000292;1;2;1;9;6;620;10/01/2016
2016000293;1;2;1;1;3;620;19/03/2016
2016000294;3;2;1;3;6;620;04/04/2016
2016000295;1;1;1;1;2;620;13/04/2016
2016000296;5;2;1;1;1;620;16/04/2016
2016000297;3;1;1;2;1;620;15/04/2016
2016000298;1;1;1;1;3;620;17/04/2016
2016000299;1;2;1;1;6;620;06/06/2016
2016000300;1;2;1;1;3;620;08/07/2016
2016000301;1;2;1;1;1;620;29/07/2016
2016000302;1;1;1;1;6;620;10/09/2016
2016000303;2;1;1;1;1;620;13/09/2016
2016000304;1;2;3;1;1;620;14/09/2016
2016000305;1;1;1;2;5;620;18/09/2016
