num_acc;lum;agg;inter;atm;col;dep;date
2014000001;1;2;1;1;3;590;07/05/2014
2014000002;1;2;1;1;6;590;31/05/2014
2014000003;1;2;9;1;3;590;23/08/2014
2014000004;1;2;1;1;1;590;12/06/2014
2014000005;2;1;1;1;1;590;23/06/2014
2014000006;5;1;6;2;2;590;11/10/2014
2014000007;1;2;9;1;7;590;11/10/2014
2014000008;1;2;4;1;6;590;16/10/2014
2014000009;1;1;1;1;1;590;02/11/2014
2014000010;5;2;1;8;6;590;30/11/2014
2014000011;3;1;1;1;1;590;02/05/2014
2014000012;1;1;1;1;3;590;03/06/2014
2014000013;1;1;1;1;6;590;21/11/2014
2014000014;1;1;1;8;3;590;02/12/2014
2014000015;1;1;1;2;5;590;19/12/2014
2014000016;2;1;1;9;6;590;12/01/2014
2014000017;3;1;2;2;3;590;26/01/2014
2014000018;1;1;1;7;2;590;22/02/2014
2014000019;1;2;2;1;3;590;14/03/2014
2014000020;1;1;1;1;7;590;18/04/2014
2014000021;1;1;1;1;3;590;02/07/2014
2014000022;1;2;1;1;1;590;14/07/2014
2014000023;1;1;3;1;3;590;13/01/2014
2014000024;1;1;1;1;1;590;11/03/2014
2014000025;1;1;1;1;1;590;04/06/2014
2014000026;1;1;1;1;1;590;19/06/2014
2014000027;1;1;1;1;7;590;19/06/2014
2014000028;1;1;3;1;3;590;05/09/2014
2014000029;1;1;1;1;2;590;17/09/2014
2014000030;1;1;1;1;3;590;06/02/2014
2014000031;1;2;1;1;6;590;21/02/2014
2014000032;1;2;1;7;6;590;12/06/2014
2014000033;1;2;1;1;3;590;05/08/2014
2014000034;1;1;1;1;6;590;28/09/2014
2014000035;1;2;2;1;3;590;31/10/2014
2014000036;2;2;1;1;6;590;02/12/2014
2014000037;1;1;1;1;6;590;16/04/2014
2014000038;3;1;1;1;3;590;24/05/2014
2014000039;1;2;1;1;6;590;15/06/2014
2014000040;3;1;1;1;6;590;10/07/2014
2014000041;1;1;1;1;2;590;01/08/2014
2014000042;1;2;1;1;6;590;14/08/2014
2014000043;1;2;1;2;6;590;07/10/2014
2014000044;1;1;1;1;7;590;19/10/2014
2014000045;5;1;6;3;7;590;03/11/2014
2014000046;1;2;9;1;1;590;11/03/2014
2014000047;1;1;2;1;3;590;23/06/2014
2014000048;3;1;1;1;5;590;01/12/2014
2014000049;3;1;1;9;7;590;08/12/2014
2014000050;5;2;1;2;6;590;08/01/2014
2014000051;1;1;1;7;3;590;05/04/2014
2014000052;1;1;1;1;6;590;28/05/2014
2014000053;1;2;1;3;1;590;21/10/2014
