num_acc;lum;agg;inter;atm;col;dep;date
2012000001;5;2;1;1;6;590;16/03/2012
2012000002;5;2;1;1;3;590;01/09/2012
2012000003;5;2;1;1;5;590;20/11/2012
2012000004;5;2;1;1;3;590;07/01/2012
2012000005;5;2;1;1;1;590;17/01/2012
2012000006;5;2;1;1;6;590;22/01/2012
2012000007;1;2;1;1;6;590;14/04/2012
2012000008;1;2;1;1;6;590;13/07/2012
2012000009;1;1;1;1;2;590;10/08/2012
2012000010;5;1;1;1;6;590;14/09/2012
2012000011;2;1;1;1;3;590;20/09/2012
2012000012;1;2;1;1;3;590;20/09/2012
2012000013;5;2;1;1;6;590;31/10/2012
2012000014;5;2;1;1;1;590;09/11/2012
2012000015;1;1;1;1;6;590;29/12/2012
2012000016;1;1;1;1;1;590;07/02/2012
2012000017;2;1;1;1;2;590;06/04/2012
2012000018;1;2;1;1;6;590;06/04/2012
2012000019;1;1;1;1;3;590;16/06/2012
2012000020;5;2;1;3;6;590;20/07/2012
2012000021;1;1;1;1;6;590;07/10/2012
2012000022;3;1;1;8;7;590;29/11/2012
2012000023;5;2;1;8;3;590;15/12/2012
2012000024;1;1;1;1;1;590;21/12/2012
2012000025;1;1;1;1;1;590;29/02/2012
2012000026;1;1;1;1;6;590;10/05/2012
2012000027;1;1;1;1;6;590;04/08/2012
2012000028;1;2;1;1;1;590;05/08/2012
2012000029;1;1;1;1;3;590;05/10/2012
2012000030;1;1;1;1;6;590;14/10/2012
2012000031;5;2;1;2;6;590;19/10/2012
2012000032;5;2;1;1;3;590;24/10/2012
2012000033;5;2;1;5;3;590;14/11/2012
2012000034;2;1;1;1;6;590;14/01/2012
2012000035;3;1;1;1;7;590;31/03/2012
2012000036;1;1;1;1;3;590;28/03/2012
2012000037;1;1;1;3;7;590;23/04/2012
2012000038;3;1;1;1;6;590;17/05/2012
2012000039;1;2;1;1;3;590;24/06/2012
2012000040;1;1;1;1;1;590;29/06/2012
2012000041;1;2;7;1;3;590;10/07/2012
2012000042;1;2;1;1;6;590;06/11/2012
2012000043;3;2;9;1;6;590;31/01/2012
2012000044;1;2;1;1;6;590;01/02/2012
2012000045;1;2;1;1;6;590;07/02/2012
2012000046;1;2;1;1;3;590;25/02/2012
2012000047;1;1;1;1;1;590;25/03/2012
2012000048;1;2;1;1;1;590;09/09/2012
2012000049;3;1;1;1;6;590;18/11/2012
2012000050;1;1;1;1;6;590;09/01/2012
2012000051;2;1;1;1;1;590;18/03/2012
2012000052;1;1;1;1;6;590;14/07/2012
2012000053;1;1;1;1;3;590;09/08/2012
2012000054;1;2;1;1;2;590;07/09/2012
2012000055;3;1;1;1;2;590;26/10/2012
2012000056;1;1;5;1;3;590;31/10/2012
2012000057;1;1;1;1;6;590;12/11/2012
2012000058;3;1;9;1;6;590;21/12/2012
2012000059;1;1;1;1;6;590;08/01/2012
2012000060;1;1;1;1;2;590;26/05/2012
2012000061;2;1;1;1;2;590;15/07/2012
2012000062;1;1;1;1;3;590;18/07/2012
2012000063;1;2;1;2;7;590;07/01/2012
2012000064;3;1;1;5;7;590;26/02/2012
2012000065;1;2;1;1;1;590;21/03/2012
2012000066;1;1;1;1;6;590;04/04/2012
2012000067;1;2;1;1;6;590;16/07/2012
2012000068;1;1;1;1;6;590;28/07/2012
2012000069;1;1;1;3;7;590;04/10/2012
2012000070;4;2;1;2;2;590;05/10/2012
2012000071;5;2;1;8;1;590;13/11/2012
2012000072;2;1;1;1;1;590;15/11/2012
2012000073;5;2;1;1;6;590;27/11/2012
2012000074;1;2;1;1;6;590;05/01/2012
2012000075;1;2;1;1;7;590;13/05/2012
2012000076;1;1;1;3;6;590;07/07/2012
2012000077;1;2;1;1;1;590;26/07/2012
2012000078;1;2;1;1;6;590;22/09/2012
2012000079;5;2;1;1;3;590;06/03/2012
2012000080;1;2;1;1;7;590;25/03/2012
2012000081;1;2;9;1;6;590;15/05/2012
2012000082;1;1;1;1;1;590;19/05/2012
2012000083;1;2;1;1;2;590;22/06/2012
2012000084;1;1;1;9;7;590;21/06/2012
2012000085;1;1;1;1;1;590;15/07/2012
2012000086;5;2;1;1;3;590;18/12/2012
2012000087;1;1;1;3;6;590;19/04/2012
2012000088;1;2;1;2;1;590;04/07/2012
2012000089;3;1;1;1;1;590;02/09/2012
2012000090;1;2;6;1;3;590;07/10/2012
2012000091;4;2;1;3;7;590;03/12/2012
2012000092;5;2;1;1;1;590;13/01/2012
2012000093;5;1;1;2;6;590;04/03/2012
2012000094;1;1;1;7;5;590;12/06/2012
2012000095;1;1;1;1;2;590;02/07/2012
2012000096;1;1;1;1;5;590;25/09/2012
2012000097;5;2;1;2;6;590;19/01/2012
2012000098;1;1;1;1;2;590;21/03/2012
2012000099;1;1;1;1;5;590;25/03/2012
2012000100;1;2;9;1;6;590;14/07/2012
2012000101;1;1;1;1;3;590;01/12/2012
2012000102;3;1;1;9;6;590;02/02/2012
2012000103;3;1;9;1;2;590;11/02/2012
2012000104;1;2;1;7;1;590;27/05/2012
2012000105;1;2;1;7;6;590;09/02/2012
2012000106;1;2;1;1;6;590;11/08/2012
2012000107;5;2;1;2;6;590;28/12/2012
2012000108;3;1;1;2;6;590;01/03/2012
2012000109;5;2;1;1;3;590;06/01/2012
2012000110;1;1;1;1;1;590;18/01/2012
2012000111;3;1;1;2;7;590;18/03/2012
2012000112;1;1;1;9;1;590;29/07/2012
2012000113;1;2;1;1;6;590;14/08/2012
2012000114;2;2;1;1;1;590;19/10/2012
2012000115;1;2;1;1;6;590;10/01/2012
2012000116;1;1;1;1;7;590;22/07/2012
2012000117;1;2;1;1;3;590;08/09/2012
2012000118;1;2;1;1;1;590;12/01/2012
2012000119;2;2;9;2;6;590;03/06/2012
2012000120;1;2;1;1;7;590;01/07/2012
2012000121;1;2;1;1;3;590;06/09/2012
2012000122;1;2;3;1;3;590;15/10/2012
2012000123;5;2;1;8;2;590;16/11/2012
2012000124;2;1;1;3;1;590;22/12/2012
2012000125;1;2;1;1;2;590;10/08/2012
2012000126;5;2;1;1;6;590;19/08/2012
2012000127;3;1;1;1;6;590;11/11/2012
2012000128;3;1;1;1;7;590;26/08/2012
2012000129;5;2;1;1;6;590;09/06/2012
2012000130;3;1;1;1;7;590;30/06/2012
2012000131;1;2;1;7;6;590;12/08/2012
2012000132;1;2;1;1;6;590;24/08/2012
2012000133;3;1;1;1;1;590;16/09/2012
2012000134;3;2;9;1;6;590;16/12/2012
2012000135;5;2;1;3;1;590;07/03/2012
2012000136;1;2;1;1;6;590;12/07/2012
2012000137;1;1;1;2;1;590;14/07/2012
2012000138;5;2;1;1;3;590;19/09/2012
2012000139;3;1;1;2;1;590;15/10/2012
2012000140;1;2;1;1;1;590;14/11/2012
2012000141;1;2;1;1;1;590;22/11/2012
2012000142;1;2;1;1;6;590;12/12/2012
2012000143;5;2;1;2;6;590;21/12/2012
2012000144;2;1;1;8;6;590;08/05/2012
2012000145;1;2;1;1;6;590;29/06/2012
2012000146;1;1;1;1;6;590;10/07/2012
2012000147;1;2;1;8;3;590;25/09/2012
2012000148;1;1;1;8;7;590;15/11/2012
2012000149;5;1;3;2;3;590;14/12/2012
2012000150;3;1;1;1;6;590;19/04/2012
2012000151;1;1;2;1;3;590;29/11/2012
2012000152;1;1;1;7;4;590;12/12/2012
2012000153;5;2;9;2;6;590;14/12/2012
2012000154;3;1;1;1;1;590;21/12/2012
2012000155;1;2;1;1;6;590;29/02/2012
2012000156;3;1;1;5;7;590;04/03/2012
2012000157;5;2;1;8;6;590;14/10/2012
2012000158;1;2;1;1;3;590;31/10/2012
2012000159;3;1;1;8;6;590;05/11/2012
2012000160;3;1;1;1;2;590;03/01/2012
2012000161;3;1;6;1;7;590;23/01/2012
2012000162;1;2;1;2;3;590;11/06/2012
2012000163;1;1;1;1;6;590;03/07/2012
2012000164;3;1;1;1;1;590;09/09/2012
2012000165;1;1;1;2;2;590;20/12/2012
2012000166;1;2;1;1;1;590;20/02/2012
2012000167;1;2;6;1;5;590;18/03/2012
2012000168;1;1;1;1;2;590;01/04/2012
2012000169;1;2;1;4;6;590;15/05/2012
2012000170;1;1;1;2;7;590;08/07/2012
2012000171;4;2;1;1;7;590;04/09/2012
2012000172;5;1;1;1;5;590;20/11/2012
2012000173;5;2;1;1;6;590;09/03/2012
2012000174;1;2;1;1;6;590;12/03/2012
2012000175;3;1;1;1;7;590;11/05/2012
2012000176;1;1;4;1;5;590;28/05/2012
2012000177;1;2;1;1;3;590;08/09/2012
2012000178;3;1;1;2;7;590;26/01/2012
2012000179;1;1;1;1;1;590;28/01/2012
2012000180;1;1;1;1;1;590;22/07/2012
2012000181;3;1;1;2;6;590;13/12/2012
2012000182;1;1;1;1;7;620;12/01/2012
2012000183;1;1;1;1;6;620;30/06/2012
2012000184;1;1;1;1;3;620;17/09/2012
2012000185;1;1;1;1;6;620;12/11/2012
2012000186;1;1;1;4;6;620;30/12/2012
2012000187;1;1;1;1;6;620;16/02/2012
2012000188;1;1;1;1;7;620;18/07/2012
2012000189;3;1;1;1;3;620;12/04/2012
2012000190;1;2;3;1;3;620;07/06/2012
2012000191;1;1;1;1;1;620;16/06/2012
2012000192;1;1;1;1;7;620;03/08/2012
2012000193;1;2;1;1;6;620;27/09/2012
2012000194;3;1;1;1;1;620;30/10/2012
2012000195;1;1;1;2;1;620;25/01/2012
2012000196;1;1;1;1;1;620;28/01/2012
2012000197;3;1;1;1;6;620;15/03/2012
2012000198;5;2;1;1;6;620;25/03/2012
2012000199;3;1;1;1;6;620;16/06/2012
2012000200;1;1;1;1;1;620;03/07/2012
2012000201;2;1;1;2;6;620;14/07/2012
2012000202;1;1;1;7;7;620;22/07/2012
2012000203;1;1;2;1;5;620;07/09/2012
2012000204;1;1;1;1;6;620;24/09/2012
2012000205;1;1;1;1;1;620;28/09/2012
2012000206;3;1;1;2;6;620;18/01/2012
2012000207;1;2;1;1;6;620;14/03/2012
2012000208;1;1;1;1;6;620;22/03/2012
2012000209;1;1;1;1;7;620;17/06/2012
2012000210;5;1;2;9;3;620;16/07/2012
2012000211;1;1;1;1;7;620;27/09/2012
2012000212;3;1;1;2;3;620;23/11/2012
2012000213;1;1;1;1;6;620;15/12/2012
2012000214;2;1;1;2;3;620;15/06/2012
2012000215;3;1;1;2;6;620;03/10/2012
2012000216;1;2;1;7;6;620;16/01/2012
2012000217;1;1;1;1;1;620;01/03/2012
2012000218;1;2;2;1;3;620;11/06/2012
2012000219;1;2;1;1;1;620;21/06/2012
2012000220;3;1;1;1;3;620;31/10/2012
2012000221;1;2;1;1;7;620;07/04/2012
2012000222;1;1;1;7;1;620;20/04/2012
2012000223;1;1;1;1;3;620;02/06/2012
2012000224;1;2;1;1;6;620;14/02/2012
2012000225;1;2;1;1;1;620;14/02/2012
2012000226;1;1;1;8;3;620;16/02/2012
2012000227;1;1;1;1;1;620;26/02/2012
2012000228;3;1;1;1;6;620;10/03/2012
2012000229;1;1;1;7;1;620;22/03/2012
2012000230;1;2;1;1;3;620;30/03/2012
2012000231;1;1;1;1;5;620;24/07/2012
2012000232;3;1;1;1;6;620;24/07/2012
2012000233;1;1;2;7;3;620;08/09/2012
2012000234;2;1;1;1;7;620;15/09/2012
2012000235;5;2;1;2;1;620;28/10/2012
2012000236;5;2;1;8;6;620;10/11/2012
2012000237;3;1;1;1;7;620;24/11/2012
2012000238;5;2;1;2;6;620;17/12/2012
2012000239;1;1;1;1;1;620;03/04/2012
2012000240;1;1;2;1;3;620;13/07/2012
2012000241;3;1;2;1;3;620;20/07/2012
2012000242;1;1;1;1;1;620;25/07/2012
2012000243;1;1;1;1;1;620;03/08/2012
2012000244;1;2;1;1;3;620;12/08/2012
