num_acc;lum;agg;inter;atm;col;dep;date
2017000001;5;2;1;1;1;590;11/01/2017
2017000002;1;2;3;1;3;590;13/02/2017
2017000003;1;2;9;1;5;590;07/03/2017
2017000004;1;2;1;1;6;590;22/04/2017
2017000005;1;2;1;1;2;590;20/05/2017
2017000006;1;1;1;1;7;590;30/05/2017
2017000007;1;2;1;1;3;590;30/06/2017
2017000008;1;2;1;1;1;590;07/07/2017
2017000009;1;1;1;2;6;590;21/12/2017
2017000010;2;1;6;1;7;590;29/06/2017
2017000011;1;2;9;1;6;590;07/07/2017
2017000012;1;1;1;1;7;590;24/09/2017
2017000013;2;1;1;2;1;590;30/11/2017
2017000014;3;1;1;2;1;590;17/12/2017
2017000015;5;1;1;1;7;590;05/01/2017
2017000016;1;2;1;1;5;590;17/03/2017
2017000017;1;2;1;1;6;590;10/05/2017
2017000018;1;1;3;7;3;590;20/06/2017
2017000019;1;1;6;1;3;590;09/08/2017
2017000020;1;1;1;1;6;590;26/09/2017
2017000021;1;1;2;1;5;590;25/09/2017
2017000022;1;1;2;1;3;590;27/12/2017
2017000023;1;2;1;1;3;590;16/09/2017
2017000024;3;1;1;1;6;590;26/01/2017
2017000025;1;1;1;1;6;590;11/04/2017
2017000026;1;2;2;1;3;590;10/04/2017
2017000027;3;1;1;1;6;590;16/07/2017
2017000028;1;2;3;1;3;590;05/08/2017
2017000029;1;1;1;1;6;590;21/09/2017
2017000030;5;2;1;1;6;590;03/10/2017
2017000031;1;1;3;1;2;590;03/10/2017
2017000032;1;1;1;1;2;590;22/10/2017
2017000033;3;1;1;1;6;590;01/11/2017
2017000034;5;2;1;3;1;590;24/11/2017
2017000035;1;1;1;1;1;590;11/03/2017
2017000036;1;1;1;1;6;590;03/04/2017
2017000037;1;1;1;1;6;590;17/04/2017
2017000038;1;1;3;1;6;590;07/07/2017
2017000039;5;1;1;2;6;590;24/10/2017
2017000040;1;1;1;6;6;590;27/02/2017
2017000041;1;2;9;1;6;590;02/03/2017
2017000042;1;2;1;1;6;590;07/03/2017
2017000043;1;2;1;1;6;590;15/04/2017
2017000044;1;2;1;1;3;590;30/04/2017
2017000045;1;2;6;1;6;590;27/05/2017
2017000046;1;1;1;1;1;590;04/07/2017
2017000047;1;2;1;1;6;590;19/07/2017
2017000048;2;1;1;1;6;590;06/11/2017
2017000049;3;1;1;9;6;590;01/12/2017
2017000050;1;2;1;1;6;590;17/02/2017
2017000051;1;2;1;1;6;590;15/04/2017
2017000052;1;2;3;1;3;590;15/08/2017
2017000053;5;2;1;8;6;590;17/10/2017
2017000054;3;1;1;1;1;590;22/12/2017
2017000055;1;1;4;1;1;590;22/04/2017
2017000056;1;2;1;1;3;590;25/04/2017
2017000057;1;2;2;1;2;590;28/07/2017
2017000058;1;2;3;1;1;590;23/09/2017
2017000059;1;2;2;8;6;590;23/10/2017
2017000060;3;1;1;2;6;590;30/10/2017
2017000061;1;2;3;1;3;590;27/12/2017
2017000062;1;2;3;1;3;590;04/04/2017
2017000063;1;2;1;1;6;590;06/08/2017
2017000064;4;2;1;1;6;590;26/08/2017
2017000065;1;2;3;1;4;590;31/10/2017
2017000066;1;2;3;1;6;590;09/11/2017
2017000067;1;1;1;2;2;590;16/12/2017
2017000068;1;1;1;1;6;590;27/12/2017
2017000069;3;1;1;2;6;590;11/01/2017
2017000070;5;2;1;2;6;590;07/02/2017
2017000071;1;1;1;1;6;590;21/04/2017
2017000072;1;2;1;2;2;590;06/06/2017
2017000073;1;1;1;7;3;590;17/06/2017
2017000074;1;1;1;1;6;590;21/07/2017
2017000075;1;2;1;1;6;590;26/07/2017
2017000076;1;1;1;1;1;590;26/09/2017
2017000077;1;1;6;1;3;590;27/09/2017
2017000078;5;1;3;1;6;590;15/10/2017
2017000079;1;2;1;1;6;590;27/02/2017
2017000080;1;1;1;1;6;590;04/06/2017
2017000081;1;2;3;1;3;590;23/06/2017
2017000082;2;1;1;8;6;590;22/07/2017
2017000083;1;1;2;1;3;590;07/08/2017
2017000084;2;1;9;1;1;590;05/10/2017
2017000085;3;2;3;1;3;590;27/10/2017
2017000086;3;2;1;8;6;590;01/12/2017
2017000087;1;2;3;2;7;590;04/01/2017
2017000088;1;2;3;2;7;590;04/01/2017
2017000089;3;2;1;1;7;590;11/03/2017
2017000090;1;1;1;1;2;590;25/03/2017
2017000091;5;2;1;1;6;590;06/05/2017
2017000092;2;2;1;7;6;590;23/06/2017
2017000093;2;2;1;1;1;590;02/07/2017
2017000094;1;1;1;1;1;590;07/07/2017
2017000095;3;1;1;1;1;590;14/08/2017
2017000096;1;2;1;1;6;590;21/10/2017
2017000097;5;2;1;1;6;590;16/01/2017
2017000098;1;2;6;1;6;590;04/03/2017
2017000099;5;2;6;1;1;590;22/03/2017
2017000100;5;2;1;1;6;590;02/04/2017
2017000101;1;2;1;1;6;590;08/04/2017
2017000102;2;2;1;1;6;590;27/04/2017
2017000103;1;1;1;1;6;590;30/04/2017
2017000104;1;2;4;2;3;590;06/05/2017
2017000105;3;1;1;3;6;590;12/05/2017
2017000106;1;1;1;7;2;590;13/06/2017
2017000107;1;2;2;1;3;590;31/08/2017
2017000108;1;2;1;1;3;590;30/09/2017
2017000109;3;1;1;2;6;590;13/01/2017
2017000110;4;2;3;1;3;590;27/01/2017
2017000111;1;2;2;1;6;590;31/03/2017
2017000112;1;2;1;1;3;590;05/04/2017
2017000113;1;1;1;1;1;590;11/04/2017
2017000114;3;1;1;1;2;590;31/05/2017
2017000115;5;2;6;1;7;590;13/08/2017
2017000116;1;1;3;1;2;590;19/01/2017
2017000117;1;2;3;1;7;590;26/01/2017
2017000118;1;1;3;1;2;590;27/01/2017
2017000119;5;2;2;1;2;590;09/02/2017
2017000120;5;2;2;1;3;590;17/02/2017
2017000121;3;2;1;2;2;590;22/02/2017
2017000122;1;2;3;1;6;590;12/06/2017
2017000123;1;2;1;1;2;590;14/07/2017
2017000124;1;2;1;1;7;590;18/08/2017
2017000125;3;1;1;5;3;590;26/10/2017
2017000126;5;2;1;2;6;590;15/11/2017
2017000127;3;1;1;1;7;590;09/08/2017
2017000128;1;1;1;1;7;590;14/08/2017
2017000129;2;2;1;1;1;590;13/10/2017
2017000130;1;2;2;1;3;590;01/01/2017
2017000131;1;1;1;1;6;590;27/05/2017
2017000132;1;2;1;1;6;590;19/06/2017
2017000133;1;2;1;1;3;590;04/07/2017
2017000134;3;1;1;1;6;590;27/08/2017
2017000135;1;1;1;1;1;590;21/10/2017
2017000136;1;2;1;1;6;590;10/05/2017
2017000137;5;2;1;1;6;590;20/05/2017
2017000138;1;2;3;1;3;590;23/08/2017
2017000139;1;2;3;1;6;590;06/09/2017
