num_acc;catr;circ;prof;surf;infra;situ
2014000001;3;2;1;1;0;1
2014000002;3;2;1;1;0;4
2014000003;3;2;1;1;0;1
2014000004;3;2;0;1;0;1
2014000005;3;2;0;2;0;0
2014000006;2;3;0;2;0;1
2014000007;4;2;0;6;0;1
2014000008;3;2;1;1;5;1
2014000009;3;2;1;1;0;1
2014000010;4;2;1;2;0;3
2014000011;3;2;1;2;0;1
2014000012;3;2;1;1;0;1
2014000013;3;2;1;1;0;1
2014000014;3;2;1;1;0;1
2014000015;3;2;2;2;0;1
2014000016;3;2;3;7;0;1
2014000017;3;2;1;2;0;0
2014000018;3;2;1;1;0;1
2014000019;4;;;;;
2014000020;3;2;2;1;0;1
2014000021;3;2;1;1;5;1
2014000022;3;2;1;1;0;1
2014000023;3;2;0;1;0;1
2014000024;3;2;0;1;0;1
2014000025;3;3;2;2;0;1
2014000026;3;3;1;1;0;1
2014000027;3;3;0;1;0;1
2014000028;3;2;0;1;5;1
2014000029;3;2;0;1;0;1
2014000030;4;2;1;2;0;1
2014000031;3;2;1;1;0;3
2014000032;4;2;1;1;0;1
2014000033;4;2;1;1;0;1
2014000034;4;2;1;0;0;3
2014000035;3;2;1;1;0;4
2014000036;3;2;1;2;0;1
2014000037;3;2;1;1;0;3
2014000038;3;2;2;1;2;1
2014000039;3;2;2;1;0;0
2014000040;3;2;0;1;0;3
2014000041;3;0;1;1;0;1
2014000042;3;2;1;1;0;1
2014000043;3;2;1;2;0;4
2014000044;4;2;1;1;0;1
2014000045;3;2;1;2;5;3
2014000046;3;2;1;1;0;1
2014000047;3;2;1;1;0;1
2014000048;3;2;1;1;0;1
2014000049;3;2;1;7;0;1
2014000050;3;2;1;2;0;1
2014000051;3;2;1;1;0;1
2014000052;3;2;1;1;0;3
2014000053;3;2;1;2;0;1
2014000054;3;2;1;1;0;1
2014000055;3;2;1;1;0;1
2014000056;3;2;1;1;0;0
2014000057;3;2;1;1;0;1
2014000058;4;2;1;1;0;1
2014000059;3;2;0;1;0;3
2014000060;3;2;1;2;0;1
2014000061;3;;;;;
2014000062;3;2;1;2;0;1
2014000063;3;2;1;2;0;1
2014000064;3;2;1;1;0;1
2014000065;9;2;2;0;0;0
2014000066;4;2;2;1;0;1
2014000067;3;2;0;1;0;0
2014000068;3;2;0;1;0;1
2014000069;3;2;1;1;0;1
2014000070;3;2;1;1;5;1
2014000071;3;2;1;1;5;1
2014000072;3;2;2;1;0;1
