num_acc;catr;circ;prof;surf;infra;situ
2016000001;3;2;1;1;0;1
2016000002;3;1;1;1;0;1
2016000003;3;2;1;2;0;3
2016000004;4;2;1;1;0;1
2016000005;4;0;0;1;0;1
2016000006;3;2;1;1;0;1
2016000007;3;2;1;1;0;1
2016000008;3;2;1;1;0;1
2016000009;4;2;1;1;0;1
2016000010;4;2;0;7;0;1
2016000011;3;2;1;2;0;1
2016000012;3;2;0;1;0;0
2016000013;3;2;0;0;0;0
2016000014;3;2;0;1;0;1
2016000015;3;1;1;1;5;1
2016000016;4;2;1;1;0;1
2016000017;3;2;1;6;0;1
2016000018;3;2;1;1;0;1
2016000019;3;3;1;1;5;1
2016000020;3;3;1;2;5;1
2016000021;3;2;1;1;0;1
2016000022;3;2;2;1;0;0
2016000023;3;2;1;2;0;3
2016000024;3;2;1;1;0;3
2016000025;4;2;1;7;0;0
2016000026;4;2;0;1;6;1
2016000027;9;2;1;1;0;1
2016000028;3;2;1;1;0;1
2016000029;3;2;1;1;0;1
2016000030;3;2;1;1;0;4
2016000031;3;2;1;1;0;1
2016000032;3;2;1;1;0;1
2016000033;3;2;0;2;0;1
2016000034;3;2;1;1;0;1
2016000035;3;2;1;2;0;1
2016000036;3;2;2;2;0;1
2016000037;3;2;1;1;0;1
2016000038;3;2;1;1;0;1
2016000039;3;2;2;1;5;4
2016000040;3;2;1;1;0;4
2016000041;3;2;1;1;0;1
2016000042;3;2;1;1;0;1
2016000043;3;2;1;1;0;4
2016000044;3;2;1;2;0;3
2016000045;3;2;1;2;0;1
2016000046;3;2;0;1;0;0
2016000047;3;2;0;1;0;1
2016000048;3;2;0;1;0;1
2016000049;3;2;1;1;0;1
2016000050;3;2;2;1;1;1
2016000051;3;2;1;1;0;1
2016000052;3;2;1;2;0;1
2016000053;3;2;1;2;0;3
2016000054;3;2;0;1;0;1
2016000055;3;2;1;1;0;1
2016000056;3;2;1;1;0;1
2016000057;3;2;1;2;0;1
2016000058;3;2;1;1;0;3
2016000059;3;2;1;2;0;3
2016000060;3;2;0;1;0;1
2016000061;3;2;1;1;0;1
2016000062;4;2;1;1;0;1
2016000063;3;2;1;1;0;1
2016000064;3;2;1;2;0;3
2016000065;3;2;2;2;0;3
