num_acc;catr;circ;prof;surf;infra;situ
2013000001;3;2;1;1;0;1
2013000002;3;3;1;1;0;1
2013000003;3;2;1;1;0;1
2013000004;3;2;1;1;0;1
2013000005;4;2;1;1;0;1
2013000006;3;2;0;1;0;1
2013000007;2;3;0;1;0;1
2013000008;3;2;1;2;0;3
2013000009;2;1;0;1;0;1
2013000010;3;2;1;1;5;1
2013000011;3;1;1;2;0;1
2013000012;3;2;1;2;0;3
2013000013;3;2;1;1;0;1
2013000014;3;4;1;1;0;1
2013000015;4;2;1;7;0;1
2013000016;4;2;1;1;0;1
2013000017;4;0;0;1;0;1
2013000018;3;2;1;1;0;3
2013000019;3;2;1;1;0;4
2013000020;3;2;1;1;0;1
2013000021;3;2;1;1;0;4
2013000022;4;1;0;1;0;4
2013000023;3;2;1;7;0;3
2013000024;3;2;0;1;5;1
2013000025;3;2;1;1;0;3
2013000026;3;2;0;1;0;1
2013000027;3;2;3;1;0;1
2013000028;3;2;3;2;0;1
2013000029;3;2;1;2;0;1
2013000030;3;2;2;1;0;5
2013000031;3;2;0;1;0;1
2013000032;3;2;1;1;0;3
2013000033;3;2;1;1;0;1
2013000034;3;2;0;1;0;3
2013000035;3;2;1;1;0;3
2013000036;3;2;0;1;0;1
2013000037;3;2;1;1;0;1
2013000038;4;2;1;1;0;1
2013000039;3;2;1;6;0;1
2013000040;3;2;1;1;0;1
2013000041;3;2;1;1;0;1
2013000042;3;2;1;1;0;1
2013000043;3;2;1;1;0;3
2013000044;3;2;1;2;0;1
2013000045;3;2;1;1;0;0
2013000046;3;2;4;2;0;1
2013000047;4;2;1;2;0;1
2013000048;3;2;1;1;0;1
2013000049;3;2;1;1;0;1
2013000050;4;1;0;1;0;4
2013000051;4;2;1;1;0;1
2013000052;3;2;0;2;0;1
2013000053;3;2;1;7;0;3
2013000054;3;2;2;2;0;1
2013000055;3;0;1;7;0;1
2013000056;4;2;2;1;0;1
2013000057;3;2;2;1;0;3
2013000058;3;2;1;1;0;1
2013000059;4;2;2;0;0;3
2013000060;3;2;1;1;0;1
2013000061;3;2;1;1;5;3
2013000062;3;2;1;1;0;1
2013000063;3;2;1;1;0;3
2013000064;3;2;1;1;0;1
2013000065;4;0;1;1;0;1
2013000066;3;2;0;2;0;1
2013000067;3;0;2;1;0;1
2013000068;3;2;0;0;3;1
2013000069;3;2;0;1;0;1
2013000070;4;0;2;1;0;1
2013000071;3;2;1;1;0;1
2013000072;4;2;1;1;0;1
2013000073;3;2;1;1;1;1
2013000074;3;2;1;1;0;1
2013000075;3;2;1;2;0;1
2013000076;3;2;1;1;0;3
2013000077;3;2;1;1;0;1
2013000078;3;2;1;1;5;1
2013000079;3;2;1;7;0;1
2013000080;3;2;1;1;0;1
2013000081;3;2;2;2;5;1
2013000082;3;3;1;1;0;1
2013000083;3;;;;;
2013000084;2;0;4;1;0;1
2013000085;5;0;1;1;0;0
2013000086;3;2;0;1;0;0
2013000087;3;2;0;1;0;1
2013000088;3;0;1;1;0;1
2013000089;3;0;0;1;0;1
2013000090;4;2;1;1;0;3
2013000091;3;2;1;1;0;1
2013000092;3;2;1;1;0;1
2013000093;4;2;1;1;0;1
2013000094;4;2;1;1;0;1
2013000095;3;2;1;2;0;1
2013000096;3;2;1;1;0;0
2013000097;3;2;1;1;2;1
2013000098;3;2;1;1;0;1
2013000099;4;2;1;1;0;1
2013000100;3;2;1;1;0;1
2013000101;3;2;1;1;0;1
2013000102;3;2;0;1;0;3
2013000103;3;2;1;1;0;1
2013000104;3;2;1;2;0;4
2013000105;3;2;0;1;0;5
2013000106;4;1;2;1;0;1
2013000107;3;1;1;1;0;1
2013000108;4;2;0;1;0;1
2013000109;3;;;;0;1
2013000110;3;2;1;1;5;1
2013000111;3;2;1;2;0;3
2013000112;3;2;1;7;0;1
2013000113;3;2;1;0;0;1
2013000114;3;2;2;1;0;4
2013000115;3;2;1;1;0;1
2013000116;3;2;1;1;0;1
2013000117;4;2;1;1;0;1
2013000118;3;2;2;2;0;1
2013000119;4;2;1;1;0;1
2013000120;3;2;2;1;0;1
2013000121;4;2;2;1;0;1
2013000122;3;1;2;1;0;1
2013000123;4;2;0;1;6;4
2013000124;3;2;1;1;0;1
2013000125;3;2;2;1;0;1
2013000126;4;1;2;1;0;1
2013000127;3;2;1;1;0;1
2013000128;3;2;1;2;0;1
2013000129;4;2;1;1;0;1
2013000130;4;3;1;2;0;1
2013000131;4;2;1;1;0;1
2013000132;3;2;1;2;6;1
2013000133;3;2;2;1;0;1
2013000134;3;2;0;2;0;1
2013000135;3;2;2;1;0;1
2013000136;3;2;1;1;0;1
2013000137;3;2;2;1;5;1
2013000138;3;0;1;1;0;1
2013000139;3;0;0;1;5;1
2013000140;3;2;0;1;0;1
2013000141;3;2;1;1;0;3
2013000142;6;0;0;0;0;0
2013000143;4;0;1;1;2;3
2013000144;3;2;2;2;0;1
2013000145;4;2;1;1;0;1
2013000146;3;2;0;1;0;1
2013000147;3;2;1;2;4;1
2013000148;3;2;3;1;2;3
2013000149;3;2;1;2;0;1
2013000150;3;2;3;1;0;1
2013000151;3;2;2;1;0;1
2013000152;3;2;1;2;0;1
2013000153;3;2;1;7;0;3
2013000154;3;2;1;9;0;1
2013000155;3;2;1;1;0;1
2013000156;4;2;1;1;0;3
2013000157;3;2;2;1;0;1
2013000158;3;2;1;2;0;3
2013000159;4;2;1;1;0;1
2013000160;4;0;1;1;0;1
2013000161;3;2;1;1;0;1
2013000162;3;2;2;1;0;1
2013000163;4;2;1;1;0;4
2013000164;3;1;1;1;0;1
2013000165;3;2;1;2;0;0
2013000166;3;2;1;1;0;1
2013000167;4;2;1;1;0;1
2013000168;4;2;0;1;0;1
2013000169;4;2;1;2;0;1
2013000170;3;2;1;1;0;1
2013000171;2;2;0;1;0;1
2013000172;1;0;0;1;0;3
2013000173;1;3;0;1;0;1
2013000174;1;3;1;1;0;1
2013000175;1;3;2;2;0;1
2013000176;1;3;2;1;3;3
2013000177;1;3;2;1;0;2
2013000178;1;3;1;1;0;1
2013000179;3;2;1;1;0;1
2013000180;3;0;2;1;0;1
2013000181;3;2;1;1;0;1
2013000182;3;2;4;1;0;4
2013000183;2;2;1;1;0;1
2013000184;2;2;1;1;0;1
2013000185;3;2;2;1;0;1
2013000186;4;2;2;1;0;1
2013000187;2;2;1;2;0;1
2013000188;3;2;1;1;0;1
2013000189;2;3;1;2;0;1
2013000190;3;0;1;1;0;1
2013000191;2;3;3;1;0;1
2013000192;4;2;4;1;0;1
2013000193;4;2;4;1;0;1
2013000194;3;2;0;1;0;1
2013000195;3;2;1;1;0;1
2013000196;3;2;1;2;0;3
2013000197;3;2;0;1;0;1
2013000198;2;2;1;1;0;1
2013000199;3;2;2;1;0;1
2013000200;3;3;1;1;0;1
2013000201;3;0;1;1;0;1
2013000202;3;2;1;1;0;1
2013000203;3;3;1;1;0;1
2013000204;3;0;3;1;0;3
2013000205;3;2;2;2;0;1
2013000206;3;3;1;1;5;1
2013000207;3;2;1;3;0;3
2013000208;3;2;1;1;0;1
2013000209;3;3;0;1;0;1
2013000210;3;2;1;2;0;1
2013000211;4;2;2;1;0;1
2013000212;3;2;2;1;0;1
2013000213;3;2;1;2;0;1
2013000214;3;2;1;1;0;1
2013000215;3;2;1;1;0;3
2013000216;3;2;1;6;0;1
2013000217;3;2;1;2;0;1
2013000218;3;2;0;1;0;3
2013000219;2;3;1;1;0;1
2013000220;3;2;1;1;0;1
2013000221;9;1;0;1;0;1
2013000222;3;2;1;2;0;1
2013000223;3;2;0;1;0;1
2013000224;3;2;2;2;0;3
2013000225;3;2;0;1;0;1
2013000226;3;2;0;1;0;1
2013000227;3;2;1;1;0;1
2013000228;3;2;1;1;0;3
2013000229;3;2;1;0;2;1
2013000230;3;2;1;1;0;1
2013000231;3;2;2;1;5;1
2013000232;3;2;1;1;0;1
2013000233;3;2;1;2;0;1
2013000234;4;2;1;1;0;1
2013000235;3;2;1;1;0;1
2013000236;3;2;1;9;0;1
2013000237;3;2;1;2;0;4
2013000238;3;2;3;0;0;1
2013000239;3;2;2;1;0;1
2013000240;3;2;1;2;0;1
2013000241;3;2;0;1;0;1
2013000242;3;2;0;2;0;3
2013000243;4;1;2;1;0;1
2013000244;3;2;3;5;0;1
2013000245;3;2;1;1;0;3
2013000246;3;2;1;1;0;1
2013000247;4;2;1;1;0;1
2013000248;3;2;1;1;0;3
2013000249;3;2;1;1;0;3
2013000250;3;2;3;7;0;0
2013000251;3;0;3;1;0;1
2013000252;3;2;1;1;0;0
2013000253;3;2;2;1;4;1
2013000254;3;2;2;1;0;1
2013000255;3;2;2;1;0;1
2013000256;3;2;1;1;0;3
2013000257;3;3;0;1;0;1
2013000258;3;2;0;1;0;4
2013000259;3;2;1;2;5;1
2013000260;4;1;1;1;0;1
2013000261;3;0;0;1;0;1
2013000262;9;2;0;1;0;1
2013000263;3;2;1;1;0;1
2013000264;4;2;2;1;0;1
2013000265;3;2;1;2;5;1
2013000266;3;2;1;1;0;1
2013000267;4;2;1;1;0;1
2013000268;3;2;0;5;0;1
2013000269;3;2;3;1;0;3
2013000270;3;2;1;0;0;3
2013000271;3;2;1;1;0;1
2013000272;3;2;1;1;0;1
2013000273;3;2;1;1;0;1
2013000274;3;2;2;1;0;1
2013000275;3;2;0;1;5;1
2013000276;3;2;2;1;0;3
2013000277;4;2;1;1;0;1
2013000278;3;2;0;1;0;1
2013000279;3;2;1;1;0;1
2013000280;3;2;2;1;0;1
2013000281;3;2;1;7;0;1
2013000282;3;2;0;9;0;0
2013000283;3;2;2;1;0;3
2013000284;9;2;1;2;0;1
2013000285;3;2;1;2;0;1
2013000286;3;2;0;1;0;3
2013000287;3;2;0;1;0;1
2013000288;3;2;1;1;0;1
2013000289;3;2;2;1;0;1
2013000290;3;3;1;1;0;1
2013000291;3;0;1;1;0;1
2013000292;3;3;2;1;0;1
2013000293;3;2;1;0;0;1
2013000294;3;2;4;1;0;1
2013000295;3;2;0;1;0;1
2013000296;3;2;1;1;0;1
2013000297;3;2;1;1;0;3
2013000298;4;2;1;1;0;1
2013000299;4;2;2;2;5;1
2013000300;3;2;1;1;0;3
2013000301;3;2;0;2;0;1
2013000302;3;2;0;1;0;1
2013000303;3;2;1;2;0;3
2013000304;3;2;1;1;0;1
2013000305;3;2;2;2;0;1
2013000306;3;2;2;1;0;4
2013000307;2;2;1;1;0;3
2013000308;3;2;2;1;0;1
2013000309;3;2;1;2;0;1
2013000310;3;2;1;6;0;1
2013000311;3;2;1;1;0;1
2013000312;3;2;2;1;0;1
2013000313;3;2;1;1;0;1
2013000314;3;2;1;2;0;1
2013000315;3;2;0;6;0;3
2013000316;3;2;1;2;0;3
2013000317;3;2;0;0;0;1
2013000318;3;2;0;1;0;1
2013000319;3;2;0;1;0;3
2013000320;3;2;0;2;0;1
2013000321;3;0;0;2;0;1
2013000322;3;2;0;1;5;1
2013000323;3;2;1;1;5;1
2013000324;3;2;0;2;0;4
2013000325;2;3;4;1;0;1
2013000326;3;2;1;2;0;3
2013000327;3;0;1;1;0;1
2013000328;3;2;1;1;0;0
2013000329;3;2;1;1;0;1
2013000330;3;2;1;1;0;1
2013000331;3;2;1;1;5;1
2013000332;3;2;4;5;0;3
2013000333;3;2;1;1;0;1
2013000334;3;2;1;1;0;1
2013000335;3;2;3;1;0;1
2013000336;3;2;4;1;0;1
2013000337;3;2;1;1;0;1
2013000338;3;2;1;2;0;3
2013000339;3;2;0;2;0;1
2013000340;3;2;1;1;0;1
2013000341;3;2;1;1;0;1
2013000342;3;2;0;1;0;4
2013000343;3;2;1;1;0;1
2013000344;3;3;2;2;0;1
2013000345;3;2;1;1;0;1
2013000346;4;1;1;1;0;3
2013000347;3;2;3;1;0;1
2013000348;3;2;1;1;0;1
2013000349;3;2;1;1;0;1
2013000350;3;2;3;2;0;1
2013000351;3;2;2;1;0;1
2013000352;3;2;1;1;0;1
2013000353;3;2;1;1;0;1
2013000354;3;2;1;7;0;1
2013000355;3;2;1;1;0;1
2013000356;3;2;1;1;0;1
2013000357;3;2;4;1;0;1
2013000358;3;2;1;1;0;1
2013000359;3;2;0;1;0;3
2013000360;3;2;1;1;0;1
2013000361;3;2;1;5;0;1
2013000362;3;2;0;1;0;1
2013000363;3;2;0;1;0;1
2013000364;3;2;0;1;0;4
2013000365;3;2;0;1;2;1
2013000366;3;2;0;7;0;1
2013000367;3;2;2;1;0;1
2013000368;3;0;0;1;2;1
2013000369;3;2;2;1;0;1
2013000370;3;2;0;1;0;1
2013000371;3;2;2;1;0;1
2013000372;3;2;1;7;0;1
2013000373;3;2;0;1;0;4
2013000374;3;2;1;1;0;1
2013000375;4;2;1;1;0;4
2013000376;3;2;1;2;0;1
2013000377;3;2;3;2;0;1
2013000378;3;2;2;1;0;1
2013000379;3;2;1;1;0;1
2013000380;3;2;1;1;0;1
2013000381;3;2;1;1;0;3
2013000382;3;2;0;2;0;1
2013000383;3;2;0;7;0;1
2013000384;3;2;1;1;0;1
2013000385;2;3;1;1;0;1
2013000386;4;2;2;7;0;1
2013000387;3;2;1;1;0;1
2013000388;3;2;0;1;5;1
2013000389;3;2;0;1;0;1
2013000390;3;2;2;1;0;1
2013000391;3;2;1;1;0;1
2013000392;3;2;0;0;0;1
2013000393;2;3;1;1;0;1
2013000394;3;2;1;2;0;1
2013000395;3;2;0;1;0;1
2013000396;4;2;2;1;0;1
2013000397;3;2;1;1;0;1
2013000398;3;2;0;1;0;3
2013000399;4;2;1;1;0;1
2013000400;3;3;2;2;0;1
2013000401;3;2;1;1;0;1
2013000402;4;2;1;1;0;1
2013000403;3;2;0;1;0;1
2013000404;3;2;2;1;0;1
2013000405;3;0;1;1;0;1
2013000406;3;2;1;1;0;3
2013000407;3;2;0;1;0;0
2013000408;2;2;3;1;0;1
2013000409;2;2;1;2;0;3
2013000410;3;2;1;2;0;1
2013000411;2;2;1;2;5;1
2013000412;3;2;1;2;0;1
2013000413;3;2;1;1;0;0
2013000414;3;0;1;1;0;1
2013000415;3;2;1;1;0;1
2013000416;3;2;2;2;0;3
2013000417;3;0;1;1;5;1
2013000418;3;2;1;1;0;1
2013000419;3;2;0;1;0;1
2013000420;3;2;0;1;0;1
2013000421;3;1;1;1;0;1
2013000422;4;2;1;1;0;1
2013000423;3;2;1;1;0;1
2013000424;3;0;1;1;0;1
2013000425;3;2;1;1;0;1
2013000426;3;2;2;1;0;1
2013000427;3;2;1;1;0;1
2013000428;3;2;1;1;0;1
2013000429;3;2;0;1;0;1
2013000430;3;2;1;1;0;1
2013000431;3;3;1;2;0;1
2013000432;4;2;2;2;0;1
2013000433;3;2;2;1;0;1
2013000434;3;2;4;2;0;1
2013000435;3;2;3;2;0;1
2013000436;3;0;1;1;0;1
2013000437;4;2;4;1;0;1
2013000438;3;0;1;1;0;1
2013000439;3;0;1;1;0;1
2013000440;4;0;1;1;0;1
2013000441;4;2;2;2;0;1
2013000442;4;2;2;1;0;1
2013000443;3;2;1;1;0;1
2013000444;4;0;1;1;0;1
2013000445;3;2;0;1;0;1
2013000446;4;2;1;1;0;1
2013000447;4;3;1;1;0;1
2013000448;3;2;0;1;5;1
2013000449;3;2;1;1;0;1
2013000450;3;2;0;1;0;1
2013000451;3;2;1;1;0;1
