num_acc;catr;circ;prof;surf;infra;situ
2010000001;3;2;1;1;0;1
2010000002;3;2;1;1;0;1
2010000003;3;2;1;1;0;1
2010000004;3;2;1;1;0;1
2010000005;3;2;1;1;0;1
2010000006;2;3;1;1;0;1
2010000007;3;2;1;1;0;1
2010000008;2;3;1;1;0;1
2010000009;3;2;1;1;0;1
2010000010;2;2;1;1;5;1
2010000011;3;2;1;1;5;1
2010000012;9;2;1;1;0;1
2010000013;2;3;1;2;0;1
2010000014;3;2;1;5;0;3
2010000015;3;2;1;1;0;4
2010000016;3;2;0;1;0;1
2010000017;4;2;1;1;0;1
2010000018;9;2;1;1;5;1
2010000019;4;2;1;1;0;1
2010000020;3;0;1;1;0;1
2010000021;3;2;1;2;0;3
2010000022;3;2;1;1;0;0
2010000023;3;2;1;1;0;1
2010000024;3;2;1;1;0;1
2010000025;3;2;1;2;0;1
2010000026;3;2;1;1;0;1
2010000027;4;2;1;1;0;1
2010000028;3;2;2;1;0;1
2010000029;3;2;1;2;0;1
2010000030;3;2;1;2;0;1
2010000031;3;2;0;2;0;3
2010000032;3;2;1;1;0;1
2010000033;3;2;1;1;0;1
2010000034;3;2;1;1;0;1
2010000035;3;2;1;1;0;1
2010000036;3;2;1;1;0;1
2010000037;3;2;1;1;0;1
2010000038;3;2;0;1;0;0
2010000039;3;2;1;1;0;3
2010000040;3;2;0;1;0;1
2010000041;3;2;1;1;0;1
2010000042;3;2;1;1;0;1
2010000043;3;2;1;1;0;3
2010000044;3;2;1;2;0;3
2010000045;3;2;1;1;0;1
2010000046;3;2;2;1;0;1
2010000047;3;2;0;1;0;1
2010000048;3;2;1;1;0;1
2010000049;3;2;1;1;0;1
2010000050;3;2;1;1;0;1
2010000051;3;0;0;0;0;0
2010000052;3;2;1;1;0;1
2010000053;3;2;1;1;0;3
2010000054;3;2;1;1;0;4
2010000055;3;2;1;1;0;3
2010000056;3;2;1;1;0;1
2010000057;3;2;1;1;0;1
2010000058;3;2;1;0;0;0
2010000059;3;2;1;1;0;1
2010000060;3;2;3;1;0;1
2010000061;3;2;1;1;0;0
2010000062;3;2;1;7;0;3
2010000063;3;2;0;1;0;1
2010000064;3;2;1;1;4;1
2010000065;3;2;1;1;0;1
2010000066;3;2;1;1;5;1
2010000067;4;2;1;1;0;1
2010000068;3;2;1;1;0;1
2010000069;3;2;1;1;0;1
2010000070;3;2;2;1;0;1
2010000071;3;2;1;1;0;1
2010000072;3;2;1;1;0;1
2010000073;3;2;1;1;0;1
2010000074;3;0;1;1;0;1
2010000075;3;2;1;1;0;1
2010000076;3;2;0;2;0;1
2010000077;4;2;1;5;0;1
2010000078;3;2;1;1;0;1
2010000079;3;2;0;2;0;0
2010000080;3;2;0;1;0;1
2010000081;3;2;1;1;0;1
2010000082;4;2;0;1;0;1
2010000083;3;2;1;1;0;2
2010000084;3;2;1;1;6;1
2010000085;3;2;1;1;5;1
2010000086;4;2;0;1;0;3
2010000087;3;2;0;2;0;0
2010000088;3;2;1;7;0;1
2010000089;3;3;1;1;0;1
2010000090;2;1;1;1;3;2
2010000091;3;2;1;1;5;1
2010000092;3;2;2;2;0;1
2010000093;3;2;1;1;0;5
2010000094;3;2;0;1;2;1
2010000095;3;2;1;1;0;1
2010000096;4;2;0;1;0;1
2010000097;3;2;1;1;0;1
2010000098;3;2;2;1;0;1
2010000099;2;2;2;1;0;1
2010000100;9;1;0;1;0;4
2010000101;3;2;3;1;0;4
2010000102;3;2;1;1;0;1
2010000103;2;2;3;1;0;1
2010000104;3;3;1;1;0;1
2010000105;2;2;1;0;0;1
2010000106;2;2;1;1;0;1
2010000107;2;3;2;1;0;4
2010000108;2;2;2;1;0;1
2010000109;2;2;2;1;6;1
2010000110;3;2;3;1;0;0
2010000111;3;2;1;1;0;1
2010000112;3;2;1;1;0;3
2010000113;3;2;1;1;0;1
2010000114;3;2;1;1;0;0
2010000115;3;2;1;1;0;1
2010000116;3;2;1;1;0;1
2010000117;3;2;1;1;0;1
2010000118;4;2;1;2;0;3
2010000119;3;2;1;1;0;1
2010000120;3;2;1;2;0;1
2010000121;3;2;1;2;0;1
2010000122;4;2;1;1;0;1
2010000123;3;2;0;0;0;3
2010000124;3;2;1;1;0;3
2010000125;3;2;0;1;0;1
2010000126;3;2;1;1;0;1
2010000127;3;2;0;1;0;3
2010000128;3;2;2;1;0;1
2010000129;3;2;1;7;0;1
2010000130;3;2;2;1;0;0
2010000131;3;2;1;1;0;5
2010000132;3;2;1;1;5;1
2010000133;4;2;0;1;0;1
2010000134;4;0;0;0;4;0
2010000135;3;2;1;1;0;0
2010000136;3;2;1;2;0;3
2010000137;3;2;0;1;0;1
2010000138;3;2;0;2;0;1
2010000139;3;2;2;1;0;1
2010000140;3;2;2;1;0;1
2010000141;3;2;1;1;0;1
2010000142;3;2;1;2;0;1
2010000143;3;2;0;2;0;1
2010000144;4;2;1;6;0;1
2010000145;4;0;2;2;5;1
2010000146;3;2;1;2;0;1
2010000147;3;2;1;1;0;1
2010000148;3;1;0;9;0;0
2010000149;4;1;1;1;0;0
2010000150;3;2;1;1;0;3
2010000151;3;2;1;1;0;1
2010000152;9;2;1;1;0;1
2010000153;4;2;0;1;0;1
2010000154;3;2;0;1;0;1
2010000155;3;2;1;1;0;1
2010000156;3;2;2;2;0;1
2010000157;3;2;1;1;5;1
2010000158;3;2;3;1;0;1
2010000159;9;2;2;1;0;1
2010000160;3;2;1;1;0;1
2010000161;3;2;1;1;0;1
2010000162;3;2;1;1;0;3
2010000163;3;2;2;1;0;1
2010000164;3;2;4;1;5;1
2010000165;4;2;1;1;0;1
2010000166;3;2;3;1;0;1
2010000167;3;2;1;2;0;1
2010000168;3;2;1;1;0;1
2010000169;3;2;0;1;0;1
2010000170;3;2;1;2;4;1
2010000171;3;2;1;1;0;4
2010000172;3;2;1;1;0;1
2010000173;4;2;1;1;0;1
2010000174;3;2;1;2;0;1
2010000175;3;2;0;1;0;1
2010000176;3;2;1;1;0;1
2010000177;3;2;1;1;0;3
2010000178;3;2;1;2;0;3
