num_acc;catr;circ;prof;surf;infra;situ
2017000001;3;2;1;1;0;1
2017000002;3;2;1;1;;
2017000003;3;2;1;1;;
2017000004;3;2;1;1;;
2017000005;3;2;1;1;0;1
2017000006;3;2;1;1;0;1
2017000007;3;2;1;1;0;1
2017000008;4;2;1;1;0;1
2017000009;3;2;1;1;0;3
2017000010;2;3;1;1;;
2017000011;3;2;1;1;;
2017000012;3;2;1;1;0;3
2017000013;3;2;1;1;;
2017000014;3;2;1;2;0;1
2017000015;3;2;1;7;0;1
2017000016;3;2;1;1;0;1
2017000017;3;2;1;1;0;1
2017000018;3;2;1;1;;
2017000019;3;2;1;1;;
2017000020;3;2;1;1;0;1
2017000021;3;2;1;1;;
2017000022;3;2;1;1;;
2017000023;3;2;1;1;0;1
2017000024;3;2;4;1;0;3
2017000025;3;2;1;1;0;3
2017000026;3;2;1;1;;
2017000027;3;2;1;1;0;3
2017000028;4;;;;;
2017000029;3;2;1;1;0;3
2017000030;3;2;1;1;0;1
2017000031;3;2;1;1;;
2017000032;3;2;1;1;0;1
2017000033;3;2;1;1;0;1
2017000034;3;2;1;2;0;1
2017000035;3;2;2;1;0;1
2017000036;4;2;1;1;0;1
2017000037;3;2;2;1;0;1
2017000038;4;;;;;
2017000039;3;2;2;2;0;3
2017000040;3;2;1;2;0;3
2017000041;3;1;1;1;;
2017000042;4;2;1;1;0;1
2017000043;3;2;1;1;0;1
2017000044;3;2;1;1;;
2017000045;3;2;1;1;;
2017000046;3;2;1;1;0;1
2017000047;3;2;1;1;0;1
2017000048;3;2;1;2;0;3
2017000049;4;2;2;7;0;3
2017000050;4;2;1;1;0;1
2017000051;3;2;1;1;0;1
2017000052;3;;;;;
2017000053;3;2;1;1;0;1
2017000054;3;2;1;2;0;1
2017000055;3;2;1;1;5;1
2017000056;3;2;1;1;;
2017000057;3;2;1;1;;
2017000058;3;2;1;0;;
2017000059;3;2;2;3;;
2017000060;3;2;1;2;0;3
2017000061;3;2;1;1;0;1
2017000062;3;2;1;1;;
2017000063;3;2;1;1;0;4
2017000064;3;2;1;1;0;0
2017000065;3;2;1;1;;
2017000066;3;2;1;4;;
2017000067;3;2;1;2;0;1
2017000068;3;2;1;1;0;1
2017000069;3;2;1;2;0;1
2017000070;3;2;1;2;0;1
2017000071;3;2;1;1;0;3
2017000072;3;2;1;2;0;1
2017000073;3;2;1;1;0;1
2017000074;3;2;1;1;0;3
2017000075;3;2;1;1;0;3
2017000076;3;2;1;1;0;1
2017000077;3;4;1;1;;
