num_acc;catr;circ;prof;surf;infra;situ
2012000001;3;2;1;1;0;1
2012000002;3;2;1;1;0;1
2012000003;3;2;1;1;0;1
2012000004;3;2;1;1;0;1
2012000005;3;2;1;1;0;1
2012000006;4;2;0;1;6;1
2012000007;3;1;1;1;0;1
2012000008;3;2;1;1;0;1
2012000009;2;3;2;1;0;1
2012000010;3;2;1;1;0;4
2012000011;3;2;1;1;0;1
2012000012;3;2;1;1;5;1
2012000013;3;1;1;1;0;1
2012000014;4;0;1;1;0;1
2012000015;2;3;0;1;0;1
2012000016;3;2;1;1;0;1
2012000017;3;2;1;1;0;1
2012000018;3;2;1;1;0;4
2012000019;3;2;1;1;0;1
2012000020;3;2;1;2;0;1
2012000021;4;0;1;1;0;1
2012000022;3;2;1;2;0;0
2012000023;4;2;0;2;0;1
2012000024;3;2;1;1;0;1
2012000025;3;2;1;1;0;1
2012000026;3;2;1;1;0;1
2012000027;3;2;1;1;5;1
2012000028;3;2;1;1;0;1
2012000029;3;2;1;1;0;1
2012000030;3;2;2;1;0;3
2012000031;3;2;1;2;0;4
2012000032;3;2;1;1;0;1
2012000033;3;0;1;2;0;1
2012000034;4;2;0;1;0;1
2012000035;3;2;1;1;0;3
2012000036;3;2;1;1;0;1
2012000037;4;2;0;2;0;0
2012000038;3;2;2;1;0;3
2012000039;4;0;1;1;0;1
2012000040;3;2;1;1;0;1
2012000041;4;1;0;1;0;1
2012000042;3;3;1;1;0;1
2012000043;3;2;1;1;0;1
2012000044;3;0;0;1;0;1
2012000045;3;2;1;1;0;1
2012000046;3;2;0;1;0;1
2012000047;3;2;1;1;0;1
2012000048;3;2;1;1;0;1
2012000049;3;2;1;1;0;1
2012000050;3;2;1;1;0;3
2012000051;3;2;0;2;0;1
2012000052;3;2;1;1;0;1
2012000053;3;2;1;1;0;1
2012000054;3;2;1;1;0;1
2012000055;3;2;2;1;0;1
2012000056;3;2;1;1;0;3
2012000057;3;0;2;0;0;1
2012000058;3;2;1;2;0;3
2012000059;3;2;1;1;0;3
2012000060;3;2;2;1;0;1
2012000061;3;3;2;2;0;1
2012000062;3;2;1;1;0;1
2012000063;3;3;1;2;6;1
2012000064;3;2;1;2;0;3
2012000065;3;2;1;1;0;0
2012000066;3;2;2;1;0;1
2012000067;3;2;1;1;0;1
2012000068;3;2;1;1;0;3
2012000069;3;2;1;6;0;3
2012000070;3;2;1;3;0;1
2012000071;4;2;1;1;0;1
2012000072;3;2;0;2;0;1
2012000073;3;2;1;1;6;1
2012000074;4;2;0;0;0;1
2012000075;3;2;0;1;0;1
2012000076;4;2;1;2;0;1
2012000077;3;2;1;1;0;1
2012000078;3;2;1;1;0;1
2012000079;3;2;1;1;0;1
2012000080;4;2;1;1;0;1
2012000081;6;1;1;1;0;1
2012000082;3;2;1;1;0;1
2012000083;3;2;1;1;0;1
2012000084;3;2;1;2;0;1
2012000085;3;2;1;1;0;1
2012000086;4;2;1;1;0;1
2012000087;3;2;1;2;2;5
2012000088;3;2;1;2;0;1
2012000089;3;2;1;1;0;1
2012000090;3;1;1;1;0;1
2012000091;3;2;1;2;0;1
2012000092;3;2;1;1;0;1
2012000093;3;2;1;2;0;1
2012000094;3;2;1;1;0;1
2012000095;3;2;1;1;0;1
2012000096;3;2;1;0;5;1
2012000097;3;2;1;2;0;1
2012000098;3;2;1;1;0;1
2012000099;3;2;1;9;0;5
2012000100;9;1;1;1;0;1
2012000101;3;2;1;1;0;1
2012000102;3;2;1;1;0;1
2012000103;3;3;1;1;0;1
2012000104;4;2;2;1;0;1
2012000105;3;2;0;1;0;1
2012000106;3;2;1;1;5;3
2012000107;3;2;1;2;0;1
2012000108;3;2;1;2;0;1
2012000109;3;2;2;1;0;1
2012000110;2;2;1;1;0;1
2012000111;3;2;2;2;0;1
2012000112;3;2;3;1;0;1
2012000113;3;2;1;1;0;1
2012000114;3;2;1;1;5;1
2012000115;4;1;0;1;6;1
2012000116;3;2;2;1;0;1
2012000117;4;2;0;1;0;1
2012000118;3;2;1;1;0;1
2012000119;3;2;2;1;0;1
2012000120;4;2;1;1;0;1
2012000121;3;2;4;1;0;1
2012000122;3;0;0;1;0;0
2012000123;3;2;1;1;0;4
2012000124;3;2;1;2;0;1
2012000125;4;2;1;1;0;1
2012000126;3;2;1;1;0;4
2012000127;3;2;2;1;0;3
2012000128;3;2;1;2;0;1
2012000129;3;2;0;1;0;1
2012000130;3;2;0;1;0;3
2012000131;4;3;0;1;0;0
2012000132;3;1;1;1;0;1
2012000133;2;2;0;1;0;1
2012000134;3;2;2;2;0;1
2012000135;3;2;1;2;5;1
2012000136;4;2;1;1;0;1
2012000137;3;2;2;2;0;1
2012000138;3;2;1;1;5;1
2012000139;3;2;1;2;0;1
2012000140;3;2;1;1;0;1
2012000141;4;2;1;1;0;1
2012000142;4;1;2;1;0;1
2012000143;3;2;1;2;0;1
2012000144;3;2;1;1;0;3
2012000145;3;2;2;1;0;4
2012000146;3;2;1;1;0;1
2012000147;3;2;0;2;0;1
2012000148;3;2;2;1;0;1
2012000149;3;2;2;2;0;1
2012000150;3;2;0;1;0;3
2012000151;3;2;0;1;5;0
2012000152;3;2;1;9;5;1
2012000153;3;2;1;2;6;1
2012000154;3;2;4;1;0;1
2012000155;3;2;1;2;0;1
2012000156;3;2;1;1;0;3
2012000157;4;2;1;1;0;1
2012000158;3;2;2;1;0;1
2012000159;3;2;1;2;0;3
2012000160;3;2;1;1;0;1
2012000161;3;2;4;1;5;0
2012000162;4;2;0;2;5;1
2012000163;3;2;1;1;0;1
2012000164;3;2;2;1;0;1
2012000165;3;3;1;2;0;1
2012000166;4;0;1;1;0;1
2012000167;3;0;0;1;5;1
2012000168;3;2;1;1;0;1
2012000169;3;2;1;2;6;1
2012000170;3;2;1;2;0;1
2012000171;4;2;1;1;0;1
2012000172;3;2;1;1;0;1
2012000173;3;0;0;1;0;1
2012000174;3;2;1;1;5;1
2012000175;3;2;0;1;0;3
2012000176;3;2;1;1;0;1
2012000177;3;2;4;1;0;1
2012000178;3;2;2;2;0;1
2012000179;3;2;1;1;0;1
2012000180;3;3;3;1;0;1
2012000181;3;2;1;2;0;1
2012000182;1;3;2;1;0;1
2012000183;1;3;1;1;7;1
2012000184;1;1;1;1;0;1
2012000185;1;3;2;1;0;1
2012000186;1;1;2;2;0;1
2012000187;3;2;1;1;0;3
2012000188;3;2;1;1;0;1
2012000189;2;2;1;1;0;1
2012000190;2;2;1;1;0;1
2012000191;3;2;0;1;0;1
2012000192;3;2;1;1;0;1
2012000193;3;2;1;1;0;1
2012000194;3;2;1;1;0;1
2012000195;2;2;1;2;0;1
2012000196;2;2;0;1;0;1
2012000197;3;3;1;1;0;1
2012000198;3;2;2;1;0;4
2012000199;3;2;0;2;0;1
2012000200;3;2;1;1;0;1
2012000201;3;2;1;2;0;3
2012000202;3;2;1;8;0;3
2012000203;3;2;2;1;0;1
2012000204;2;2;1;1;0;1
2012000205;3;2;1;1;0;1
2012000206;3;2;2;2;0;3
2012000207;4;2;1;1;0;1
2012000208;3;2;1;1;0;1
2012000209;3;2;1;1;0;3
2012000210;3;0;1;1;5;0
2012000211;3;2;1;1;0;3
2012000212;3;3;1;2;5;1
2012000213;3;2;1;1;0;3
2012000214;3;2;1;2;5;1
2012000215;4;2;1;2;0;3
2012000216;3;2;1;1;0;1
2012000217;3;2;1;1;0;1
2012000218;4;2;1;1;0;1
2012000219;3;2;2;1;0;1
2012000220;3;2;1;1;0;1
2012000221;4;2;1;1;0;1
2012000222;3;2;1;1;0;1
2012000223;3;2;1;1;0;1
2012000224;3;2;0;1;0;1
2012000225;3;2;0;1;0;1
2012000226;2;0;1;2;0;1
2012000227;3;2;1;1;0;1
